nohup: ignoring input
Namespace(attack_method='AGIA', cuda=True, dataset='Flickr', debug=True, defense_mode='none', device_id=1, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=64, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.4, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='GNNGuard', thrd=0.5, train_lr=0.02, trigger_prob=0.5, trigger_size=3, trojan_epochs=1000, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[89250, 500], edge_index=[2, 899756], y=[89250], train_mask=[89250], val_mask=[89250], test_mask=[89250])
Length of training set: 17850
Training benign model Finished!
Benign CA: 0.3607
./selected_nodes/Flickr/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.9459304809570312
acc_val: 0.4119
Epoch 10, training loss: 1.6337673664093018
acc_val: 0.4119
Epoch 20, training loss: 1.6217806339263916
acc_val: 0.4119
Epoch 30, training loss: 1.6064249277114868
acc_val: 0.4119
Epoch 40, training loss: 1.5968029499053955
acc_val: 0.4119
Epoch 50, training loss: 1.5881984233856201
acc_val: 0.4118
Epoch 60, training loss: 1.5813709497451782
acc_val: 0.4129
Epoch 70, training loss: 1.5755410194396973
acc_val: 0.4139
Epoch 80, training loss: 1.570027470588684
acc_val: 0.4160
Epoch 90, training loss: 1.562692642211914
acc_val: 0.4192
Epoch 100, training loss: 1.5553935766220093
acc_val: 0.4269
Epoch 110, training loss: 1.5447094440460205
acc_val: 0.4345
Epoch 120, training loss: 1.5390474796295166
acc_val: 0.4410
Epoch 130, training loss: 1.5333971977233887
acc_val: 0.4450
Epoch 140, training loss: 1.5311614274978638
acc_val: 0.4485
Epoch 150, training loss: 1.5299534797668457
acc_val: 0.4529
Epoch 160, training loss: 1.5288491249084473
acc_val: 0.4528
Epoch 170, training loss: 1.527613639831543
acc_val: 0.4481
Epoch 180, training loss: 1.527220606803894
acc_val: 0.4491
Epoch 190, training loss: 1.5273693799972534
acc_val: 0.4500
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0028
target class rate on Vs: 0.0672
accuracy on clean test nodes: 0.4590
torch.Size([899756])
torch.Size([89250, 500])
Attacking: Sequential inject 5355/26775 nodes, target 8925/8925 nodes
Attacking: Epoch 0, Loss: 17.58222, Surrogate test score: 0.69647
Attacking: Epoch 1, Loss: 16.74488, Surrogate test score: 0.65838
Attacking: Epoch 2, Loss: 15.93181, Surrogate test score: 0.62510
Attacking: Epoch 3, Loss: 15.16794, Surrogate test score: 0.59641
Attacking: Epoch 4, Loss: 14.46371, Surrogate test score: 0.57143
Attacking: Epoch 5, Loss: 13.81716, Surrogate test score: 0.54711
Attacking: Epoch 6, Loss: 13.21934, Surrogate test score: 0.52078
Attacking: Epoch 7, Loss: 12.65287, Surrogate test score: 0.49513
Attacking: Epoch 8, Loss: 12.10651, Surrogate test score: 0.47014
Attacking: Epoch 9, Loss: 11.57372, Surrogate test score: 0.44941
Attacking: Epoch 10, Loss: 11.06056, Surrogate test score: 0.42846
Attacking: Epoch 11, Loss: 10.57403, Surrogate test score: 0.41266
Attacking: Epoch 12, Loss: 10.12203, Surrogate test score: 0.39720
Attacking: Epoch 13, Loss: 9.71118, Surrogate test score: 0.38487
Attacking: Epoch 14, Loss: 9.34601, Surrogate test score: 0.37345
Attacking: Epoch 15, Loss: 9.02468, Surrogate test score: 0.36415
Attacking: Epoch 16, Loss: 8.74413, Surrogate test score: 0.35776
Attacking: Epoch 17, Loss: 8.50107, Surrogate test score: 0.35070
Attacking: Epoch 18, Loss: 8.29001, Surrogate test score: 0.34487
Attacking: Epoch 19, Loss: 8.10671, Surrogate test score: 0.33972
Attacking: Epoch 20, Loss: 7.94596, Surrogate test score: 0.33546
Attacking: Epoch 21, Loss: 7.80510, Surrogate test score: 0.33266
Attacking: Epoch 22, Loss: 7.68261, Surrogate test score: 0.33120
Attacking: Epoch 23, Loss: 7.57851, Surrogate test score: 0.32986
Attacking: Epoch 24, Loss: 7.49127, Surrogate test score: 0.32885
Attacking: Epoch 25, Loss: 7.41796, Surrogate test score: 0.32695
Attacking: Epoch 26, Loss: 7.35469, Surrogate test score: 0.32594
Attacking: Epoch 27, Loss: 7.29857, Surrogate test score: 0.32515
Attacking: Epoch 28, Loss: 7.24754, Surrogate test score: 0.32504
Attacking: Epoch 29, Loss: 7.20110, Surrogate test score: 0.32471
Attacking: Epoch 30, Loss: 7.15992, Surrogate test score: 0.32426
Attacking: Epoch 31, Loss: 7.12369, Surrogate test score: 0.32415
Attacking: Epoch 32, Loss: 7.09118, Surrogate test score: 0.32403
Attacking: Epoch 33, Loss: 7.06134, Surrogate test score: 0.32403
Attacking: Epoch 34, Loss: 7.03381, Surrogate test score: 0.32403
Attacking: Epoch 35, Loss: 7.00836, Surrogate test score: 0.32403
Attacking: Epoch 36, Loss: 6.98467, Surrogate test score: 0.32392
Attacking: Epoch 37, Loss: 6.96219, Surrogate test score: 0.32392
Attacking: Epoch 38, Loss: 6.94061, Surrogate test score: 0.32381
Attacking: Epoch 39, Loss: 6.91987, Surrogate test score: 0.32381
Attacking: Epoch 40, Loss: 6.89993, Surrogate test score: 0.32381
Attacking: Epoch 41, Loss: 6.88091, Surrogate test score: 0.32381
Attacking: Epoch 42, Loss: 6.86287, Surrogate test score: 0.32381
Attacking: Epoch 43, Loss: 6.84571, Surrogate test score: 0.32381
Attacking: Epoch 44, Loss: 6.82913, Surrogate test score: 0.32370
Attacking: Epoch 45, Loss: 6.81306, Surrogate test score: 0.32370
Attacking: Epoch 46, Loss: 6.79754, Surrogate test score: 0.32381
Attacking: Epoch 47, Loss: 6.78266, Surrogate test score: 0.32381
Attacking: Epoch 48, Loss: 6.76851, Surrogate test score: 0.32381
Attacking: Epoch 49, Loss: 6.75506, Surrogate test score: 0.32381
Attacking: Epoch 50, Loss: 6.74208, Surrogate test score: 0.32370
Attacking: Epoch 51, Loss: 6.72964, Surrogate test score: 0.32370
Attacking: Epoch 52, Loss: 6.71767, Surrogate test score: 0.32359
Attacking: Epoch 53, Loss: 6.70614, Surrogate test score: 0.32359
Attacking: Epoch 54, Loss: 6.69495, Surrogate test score: 0.32359
Attacking: Epoch 55, Loss: 6.68404, Surrogate test score: 0.32359
Attacking: Epoch 56, Loss: 6.67343, Surrogate test score: 0.32347
Attacking: Epoch 57, Loss: 6.66309, Surrogate test score: 0.32347
Attacking: Epoch 58, Loss: 6.65302, Surrogate test score: 0.32347
Attacking: Epoch 59, Loss: 6.64322, Surrogate test score: 0.32347
Attacking: Epoch 60, Loss: 6.63369, Surrogate test score: 0.32347
Attacking: Epoch 61, Loss: 6.62442, Surrogate test score: 0.32336
Attacking: Epoch 62, Loss: 6.61539, Surrogate test score: 0.32336
Attacking: Epoch 63, Loss: 6.60656, Surrogate test score: 0.32336
Attacking: Epoch 64, Loss: 6.59790, Surrogate test score: 0.32336
Attacking: Epoch 65, Loss: 6.58939, Surrogate test score: 0.32336
Attacking: Epoch 66, Loss: 6.58108, Surrogate test score: 0.32336
Attacking: Epoch 67, Loss: 6.57293, Surrogate test score: 0.32336
Attacking: Epoch 68, Loss: 6.56495, Surrogate test score: 0.32336
Attacking: Epoch 69, Loss: 6.55713, Surrogate test score: 0.32336
Attacking: Epoch 70, Loss: 6.54945, Surrogate test score: 0.32336
Attacking: Epoch 71, Loss: 6.54189, Surrogate test score: 0.32336
Attacking: Epoch 72, Loss: 6.53448, Surrogate test score: 0.32336
Attacking: Epoch 73, Loss: 6.52719, Surrogate test score: 0.32336
Attacking: Epoch 74, Loss: 6.52003, Surrogate test score: 0.32336
Attacking: Epoch 75, Loss: 6.51299, Surrogate test score: 0.32336
Attacking: Epoch 76, Loss: 6.50608, Surrogate test score: 0.32336
Attacking: Epoch 77, Loss: 6.49946, Surrogate test score: 0.32336
Attacking: Epoch 78, Loss: 6.49281, Surrogate test score: 0.32336
Attacking: Epoch 79, Loss: 6.48614, Surrogate test score: 0.32336
Attacking: Epoch 80, Loss: 6.47963, Surrogate test score: 0.32325
Attacking: Epoch 81, Loss: 6.47331, Surrogate test score: 0.32325
Attacking: Epoch 82, Loss: 6.46707, Surrogate test score: 0.32325
Attacking: Epoch 83, Loss: 6.46089, Surrogate test score: 0.32325
Attacking: Epoch 84, Loss: 6.45477, Surrogate test score: 0.32325
Attacking: Epoch 85, Loss: 6.44872, Surrogate test score: 0.32325
Attacking: Epoch 86, Loss: 6.44274, Surrogate test score: 0.32325
Attacking: Epoch 87, Loss: 6.43683, Surrogate test score: 0.32325
Attacking: Epoch 88, Loss: 6.43095, Surrogate test score: 0.32325
Attacking: Epoch 89, Loss: 6.42514, Surrogate test score: 0.32325
Attacking: Epoch 90, Loss: 6.41937, Surrogate test score: 0.32325
Attacking: Epoch 91, Loss: 6.41371, Surrogate test score: 0.32325
Attacking: Epoch 92, Loss: 6.40812, Surrogate test score: 0.32325
Attacking: Epoch 93, Loss: 6.40254, Surrogate test score: 0.32325
Attacking: Epoch 94, Loss: 6.39697, Surrogate test score: 0.32325
Attacking: Epoch 95, Loss: 6.39146, Surrogate test score: 0.32325
Attacking: Epoch 96, Loss: 6.38601, Surrogate test score: 0.32325
Attacking: Epoch 97, Loss: 6.38061, Surrogate test score: 0.32325
Attacking: Epoch 98, Loss: 6.37526, Surrogate test score: 0.32325
Attacking: Epoch 99, Loss: 6.36996, Surrogate test score: 0.32325
Attacking: Epoch 100, Loss: 6.36468, Surrogate test score: 0.32325
Attacking: Epoch 101, Loss: 6.35940, Surrogate test score: 0.32325
Attacking: Epoch 102, Loss: 6.35416, Surrogate test score: 0.32325
Attacking: Epoch 103, Loss: 6.34895, Surrogate test score: 0.32325
Attacking: Epoch 104, Loss: 6.34374, Surrogate test score: 0.32325
Attacking: Epoch 105, Loss: 6.33856, Surrogate test score: 0.32325
Attacking: Epoch 106, Loss: 6.33341, Surrogate test score: 0.32325
Attacking: Epoch 107, Loss: 6.32828, Surrogate test score: 0.32325
Attacking: Epoch 108, Loss: 6.32316, Surrogate test score: 0.32325
Attacking: Epoch 109, Loss: 6.31804, Surrogate test score: 0.32325
Attacking: Epoch 110, Loss: 6.31294, Surrogate test score: 0.32325
Attacking: Epoch 111, Loss: 6.30786, Surrogate test score: 0.32325
Attacking: Epoch 112, Loss: 6.30282, Surrogate test score: 0.32325
Attacking: Epoch 113, Loss: 6.29781, Surrogate test score: 0.32325
Attacking: Epoch 114, Loss: 6.29280, Surrogate test score: 0.32325
Attacking: Epoch 115, Loss: 6.28780, Surrogate test score: 0.32325
Attacking: Epoch 116, Loss: 6.28281, Surrogate test score: 0.32325
Attacking: Epoch 117, Loss: 6.27783, Surrogate test score: 0.32325
Attacking: Epoch 118, Loss: 6.27288, Surrogate test score: 0.32325
Attacking: Epoch 119, Loss: 6.26793, Surrogate test score: 0.32314
Attacking: Epoch 120, Loss: 6.26299, Surrogate test score: 0.32314
Attacking: Epoch 121, Loss: 6.25807, Surrogate test score: 0.32314
Attacking: Epoch 122, Loss: 6.25317, Surrogate test score: 0.32314
Attacking: Epoch 123, Loss: 6.24827, Surrogate test score: 0.32314
Attacking: Epoch 124, Loss: 6.24338, Surrogate test score: 0.32314
Attacking: Epoch 125, Loss: 6.23850, Surrogate test score: 0.32314
Attacking: Epoch 126, Loss: 6.23363, Surrogate test score: 0.32314
Attacking: Epoch 127, Loss: 6.22877, Surrogate test score: 0.32314
Attacking: Epoch 128, Loss: 6.22392, Surrogate test score: 0.32314
Attacking: Epoch 129, Loss: 6.21910, Surrogate test score: 0.32314
Attacking: Epoch 130, Loss: 6.21430, Surrogate test score: 0.32303
Attacking: Epoch 131, Loss: 6.20950, Surrogate test score: 0.32303
Attacking: Epoch 132, Loss: 6.20470, Surrogate test score: 0.32303
Attacking: Epoch 133, Loss: 6.19992, Surrogate test score: 0.32303
Attacking: Epoch 134, Loss: 6.19514, Surrogate test score: 0.32303
Attacking: Epoch 135, Loss: 6.19039, Surrogate test score: 0.32303
Attacking: Epoch 136, Loss: 6.18563, Surrogate test score: 0.32303
Attacking: Epoch 137, Loss: 6.18090, Surrogate test score: 0.32303
Attacking: Epoch 138, Loss: 6.17617, Surrogate test score: 0.32303
Attacking: Epoch 139, Loss: 6.17146, Surrogate test score: 0.32303
Attacking: Epoch 140, Loss: 6.16676, Surrogate test score: 0.32303
Attacking: Epoch 141, Loss: 6.16208, Surrogate test score: 0.32303
Attacking: Epoch 142, Loss: 6.15741, Surrogate test score: 0.32303
Attacking: Epoch 143, Loss: 6.15275, Surrogate test score: 0.32303
Attacking: Epoch 144, Loss: 6.14811, Surrogate test score: 0.32303
Attacking: Epoch 145, Loss: 6.14347, Surrogate test score: 0.32303
Attacking: Epoch 146, Loss: 6.13885, Surrogate test score: 0.32303
Attacking: Epoch 147, Loss: 6.13424, Surrogate test score: 0.32303
Attacking: Epoch 148, Loss: 6.12963, Surrogate test score: 0.32303
Attacking: Epoch 149, Loss: 6.12505, Surrogate test score: 0.32303
