nohup: ignoring input
Namespace(attack_method='AGIA', cuda=True, dataset='Flickr', debug=True, defense_mode='prune', device_id=3, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=64, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.4, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='GCN', thrd=0.5, train_lr=0.02, trigger_prob=0.5, trigger_size=3, trojan_epochs=1000, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[89250, 500], edge_index=[2, 899756], y=[89250], train_mask=[89250], val_mask=[89250], test_mask=[89250])
Length of training set: 17850
Training benign model Finished!
Benign CA: 0.2062
./selected_nodes/Flickr/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.9452153444290161
acc_val: 0.4119
Epoch 10, training loss: 1.6309700012207031
acc_val: 0.4119
Epoch 20, training loss: 1.6187177896499634
acc_val: 0.4119
Epoch 30, training loss: 1.605920433998108
acc_val: 0.4117
Epoch 40, training loss: 1.5945311784744263
acc_val: 0.4119
Epoch 50, training loss: 1.5863444805145264
acc_val: 0.4114
Epoch 60, training loss: 1.5802735090255737
acc_val: 0.4139
Epoch 70, training loss: 1.574172019958496
acc_val: 0.4133
Epoch 80, training loss: 1.567203402519226
acc_val: 0.4161
Epoch 90, training loss: 1.5603030920028687
acc_val: 0.4202
Epoch 100, training loss: 1.5511009693145752
acc_val: 0.4285
Epoch 110, training loss: 1.544277548789978
acc_val: 0.4296
Epoch 120, training loss: 1.538050889968872
acc_val: 0.4465
Epoch 130, training loss: 1.5357635021209717
acc_val: 0.4365
Epoch 140, training loss: 1.531242847442627
acc_val: 0.4420
Epoch 150, training loss: 1.5315680503845215
acc_val: 0.4494
Epoch 160, training loss: 1.5308433771133423
acc_val: 0.4490
Epoch 170, training loss: 1.5277936458587646
acc_val: 0.4458
Epoch 180, training loss: 1.5291975736618042
acc_val: 0.4452
Epoch 190, training loss: 1.5267541408538818
acc_val: 0.4493
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0000
target class rate on Vs: 0.0672
accuracy on clean test nodes: 0.4169
torch.Size([899756])
torch.Size([89250, 500])
Attacking: Sequential inject 5355/26775 nodes, target 8925/8925 nodes
Attacking: Epoch 0, Loss: 18.43647, Surrogate test score: 0.70812
Attacking: Epoch 1, Loss: 17.54568, Surrogate test score: 0.67261
Attacking: Epoch 2, Loss: 16.67638, Surrogate test score: 0.64258
Attacking: Epoch 3, Loss: 15.84593, Surrogate test score: 0.60583
Attacking: Epoch 4, Loss: 15.06069, Surrogate test score: 0.57737
Attacking: Epoch 5, Loss: 14.32373, Surrogate test score: 0.54969
Attacking: Epoch 6, Loss: 13.63418, Surrogate test score: 0.52280
Attacking: Epoch 7, Loss: 12.98687, Surrogate test score: 0.49535
Attacking: Epoch 8, Loss: 12.38202, Surrogate test score: 0.47070
Attacking: Epoch 9, Loss: 11.80864, Surrogate test score: 0.44986
Attacking: Epoch 10, Loss: 11.26718, Surrogate test score: 0.42857
Attacking: Epoch 11, Loss: 10.75981, Surrogate test score: 0.40975
Attacking: Epoch 12, Loss: 10.29034, Surrogate test score: 0.39585
Attacking: Epoch 13, Loss: 9.86117, Surrogate test score: 0.38073
Attacking: Epoch 14, Loss: 9.47443, Surrogate test score: 0.36941
Attacking: Epoch 15, Loss: 9.12905, Surrogate test score: 0.36034
Attacking: Epoch 16, Loss: 8.82601, Surrogate test score: 0.35305
Attacking: Epoch 17, Loss: 8.56263, Surrogate test score: 0.34622
Attacking: Epoch 18, Loss: 8.33538, Surrogate test score: 0.34118
Attacking: Epoch 19, Loss: 8.14124, Surrogate test score: 0.33636
Attacking: Epoch 20, Loss: 7.97685, Surrogate test score: 0.33356
Attacking: Epoch 21, Loss: 7.83833, Surrogate test score: 0.33165
Attacking: Epoch 22, Loss: 7.72309, Surrogate test score: 0.32964
Attacking: Epoch 23, Loss: 7.62627, Surrogate test score: 0.32818
Attacking: Epoch 24, Loss: 7.54485, Surrogate test score: 0.32672
Attacking: Epoch 25, Loss: 7.47665, Surrogate test score: 0.32616
Attacking: Epoch 26, Loss: 7.41899, Surrogate test score: 0.32560
Attacking: Epoch 27, Loss: 7.36946, Surrogate test score: 0.32504
Attacking: Epoch 28, Loss: 7.32635, Surrogate test score: 0.32482
Attacking: Epoch 29, Loss: 7.28848, Surrogate test score: 0.32459
Attacking: Epoch 30, Loss: 7.25495, Surrogate test score: 0.32448
Attacking: Epoch 31, Loss: 7.22488, Surrogate test score: 0.32448
Attacking: Epoch 32, Loss: 7.19745, Surrogate test score: 0.32437
Attacking: Epoch 33, Loss: 7.17222, Surrogate test score: 0.32437
Attacking: Epoch 34, Loss: 7.14851, Surrogate test score: 0.32437
Attacking: Epoch 35, Loss: 7.12562, Surrogate test score: 0.32415
Attacking: Epoch 36, Loss: 7.10328, Surrogate test score: 0.32415
Attacking: Epoch 37, Loss: 7.08153, Surrogate test score: 0.32415
Attacking: Epoch 38, Loss: 7.06044, Surrogate test score: 0.32415
Attacking: Epoch 39, Loss: 7.04022, Surrogate test score: 0.32415
Attacking: Epoch 40, Loss: 7.02082, Surrogate test score: 0.32415
Attacking: Epoch 41, Loss: 7.00221, Surrogate test score: 0.32415
Attacking: Epoch 42, Loss: 6.98422, Surrogate test score: 0.32415
Attacking: Epoch 43, Loss: 6.96665, Surrogate test score: 0.32415
Attacking: Epoch 44, Loss: 6.94946, Surrogate test score: 0.32403
Attacking: Epoch 45, Loss: 6.93265, Surrogate test score: 0.32403
Attacking: Epoch 46, Loss: 6.91617, Surrogate test score: 0.32392
Attacking: Epoch 47, Loss: 6.90002, Surrogate test score: 0.32392
Attacking: Epoch 48, Loss: 6.88422, Surrogate test score: 0.32392
Attacking: Epoch 49, Loss: 6.86876, Surrogate test score: 0.32392
Attacking: Epoch 50, Loss: 6.85365, Surrogate test score: 0.32392
Attacking: Epoch 51, Loss: 6.83886, Surrogate test score: 0.32392
Attacking: Epoch 52, Loss: 6.82443, Surrogate test score: 0.32392
Attacking: Epoch 53, Loss: 6.81031, Surrogate test score: 0.32392
Attacking: Epoch 54, Loss: 6.79648, Surrogate test score: 0.32392
Attacking: Epoch 55, Loss: 6.78293, Surrogate test score: 0.32392
Attacking: Epoch 56, Loss: 6.76967, Surrogate test score: 0.32392
Attacking: Epoch 57, Loss: 6.75670, Surrogate test score: 0.32392
Attacking: Epoch 58, Loss: 6.74402, Surrogate test score: 0.32392
Attacking: Epoch 59, Loss: 6.73163, Surrogate test score: 0.32392
Attacking: Epoch 60, Loss: 6.71945, Surrogate test score: 0.32392
Attacking: Epoch 61, Loss: 6.70752, Surrogate test score: 0.32392
Attacking: Epoch 62, Loss: 6.69586, Surrogate test score: 0.32392
Attacking: Epoch 63, Loss: 6.68444, Surrogate test score: 0.32392
Attacking: Epoch 64, Loss: 6.67327, Surrogate test score: 0.32392
Attacking: Epoch 65, Loss: 6.66231, Surrogate test score: 0.32392
Attacking: Epoch 66, Loss: 6.65158, Surrogate test score: 0.32392
Attacking: Epoch 67, Loss: 6.64106, Surrogate test score: 0.32392
Attacking: Epoch 68, Loss: 6.63074, Surrogate test score: 0.32392
Attacking: Epoch 69, Loss: 6.62061, Surrogate test score: 0.32392
Attacking: Epoch 70, Loss: 6.61069, Surrogate test score: 0.32392
Attacking: Epoch 71, Loss: 6.60099, Surrogate test score: 0.32392
Attacking: Epoch 72, Loss: 6.59149, Surrogate test score: 0.32392
Attacking: Epoch 73, Loss: 6.58217, Surrogate test score: 0.32392
Attacking: Epoch 74, Loss: 6.57304, Surrogate test score: 0.32392
Attacking: Epoch 75, Loss: 6.56407, Surrogate test score: 0.32392
Attacking: Epoch 76, Loss: 6.55529, Surrogate test score: 0.32392
Attacking: Epoch 77, Loss: 6.54666, Surrogate test score: 0.32392
Attacking: Epoch 78, Loss: 6.53819, Surrogate test score: 0.32392
Attacking: Epoch 79, Loss: 6.52987, Surrogate test score: 0.32392
Attacking: Epoch 80, Loss: 6.52169, Surrogate test score: 0.32392
Attacking: Epoch 81, Loss: 6.51368, Surrogate test score: 0.32392
Attacking: Epoch 82, Loss: 6.50584, Surrogate test score: 0.32392
Attacking: Epoch 83, Loss: 6.49812, Surrogate test score: 0.32392
Attacking: Epoch 84, Loss: 6.49055, Surrogate test score: 0.32392
Attacking: Epoch 85, Loss: 6.48309, Surrogate test score: 0.32392
Attacking: Epoch 86, Loss: 6.47575, Surrogate test score: 0.32392
Attacking: Epoch 87, Loss: 6.46853, Surrogate test score: 0.32392
Attacking: Epoch 88, Loss: 6.46143, Surrogate test score: 0.32392
Attacking: Epoch 89, Loss: 6.45444, Surrogate test score: 0.32392
Attacking: Epoch 90, Loss: 6.44756, Surrogate test score: 0.32392
Attacking: Epoch 91, Loss: 6.44076, Surrogate test score: 0.32392
Attacking: Epoch 92, Loss: 6.43407, Surrogate test score: 0.32392
Attacking: Epoch 93, Loss: 6.42746, Surrogate test score: 0.32392
Attacking: Epoch 94, Loss: 6.42091, Surrogate test score: 0.32392
Attacking: Epoch 95, Loss: 6.41448, Surrogate test score: 0.32392
Attacking: Epoch 96, Loss: 6.40812, Surrogate test score: 0.32392
Attacking: Epoch 97, Loss: 6.40184, Surrogate test score: 0.32392
Attacking: Epoch 98, Loss: 6.39565, Surrogate test score: 0.32392
Attacking: Epoch 99, Loss: 6.38952, Surrogate test score: 0.32392
Attacking: Epoch 100, Loss: 6.38345, Surrogate test score: 0.32392
Attacking: Epoch 101, Loss: 6.37744, Surrogate test score: 0.32381
Attacking: Epoch 102, Loss: 6.37149, Surrogate test score: 0.32381
Attacking: Epoch 103, Loss: 6.36559, Surrogate test score: 0.32381
Attacking: Epoch 104, Loss: 6.35975, Surrogate test score: 0.32381
Attacking: Epoch 105, Loss: 6.35396, Surrogate test score: 0.32381
Attacking: Epoch 106, Loss: 6.34823, Surrogate test score: 0.32381
Attacking: Epoch 107, Loss: 6.34254, Surrogate test score: 0.32381
Attacking: Epoch 108, Loss: 6.33691, Surrogate test score: 0.32381
Attacking: Epoch 109, Loss: 6.33132, Surrogate test score: 0.32381
Attacking: Epoch 110, Loss: 6.32576, Surrogate test score: 0.32381
Attacking: Epoch 111, Loss: 6.32025, Surrogate test score: 0.32381
Attacking: Epoch 112, Loss: 6.31477, Surrogate test score: 0.32381
Attacking: Epoch 113, Loss: 6.30932, Surrogate test score: 0.32381
Attacking: Epoch 114, Loss: 6.30390, Surrogate test score: 0.32381
Attacking: Epoch 115, Loss: 6.29851, Surrogate test score: 0.32381
Attacking: Epoch 116, Loss: 6.29317, Surrogate test score: 0.32381
Attacking: Epoch 117, Loss: 6.28786, Surrogate test score: 0.32381
Attacking: Epoch 118, Loss: 6.28256, Surrogate test score: 0.32381
Attacking: Epoch 119, Loss: 6.27731, Surrogate test score: 0.32381
Attacking: Epoch 120, Loss: 6.27208, Surrogate test score: 0.32381
Attacking: Epoch 121, Loss: 6.26686, Surrogate test score: 0.32381
Attacking: Epoch 122, Loss: 6.26167, Surrogate test score: 0.32381
Attacking: Epoch 123, Loss: 6.25650, Surrogate test score: 0.32381
Attacking: Epoch 124, Loss: 6.25134, Surrogate test score: 0.32381
Attacking: Epoch 125, Loss: 6.24622, Surrogate test score: 0.32381
Attacking: Epoch 126, Loss: 6.24112, Surrogate test score: 0.32381
Attacking: Epoch 127, Loss: 6.23601, Surrogate test score: 0.32381
Attacking: Epoch 128, Loss: 6.23093, Surrogate test score: 0.32381
Attacking: Epoch 129, Loss: 6.22587, Surrogate test score: 0.32381
Attacking: Epoch 130, Loss: 6.22086, Surrogate test score: 0.32381
Attacking: Epoch 131, Loss: 6.21587, Surrogate test score: 0.32381
Attacking: Epoch 132, Loss: 6.21085, Surrogate test score: 0.32381
Attacking: Epoch 133, Loss: 6.20587, Surrogate test score: 0.32381
Attacking: Epoch 134, Loss: 6.20092, Surrogate test score: 0.32381
Attacking: Epoch 135, Loss: 6.19599, Surrogate test score: 0.32381
Attacking: Epoch 136, Loss: 6.19108, Surrogate test score: 0.32381
Attacking: Epoch 137, Loss: 6.18618, Surrogate test score: 0.32381
Attacking: Epoch 138, Loss: 6.18128, Surrogate test score: 0.32381
Attacking: Epoch 139, Loss: 6.17639, Surrogate test score: 0.32381
Attacking: Epoch 140, Loss: 6.17151, Surrogate test score: 0.32381
Attacking: Epoch 141, Loss: 6.16668, Surrogate test score: 0.32381
Attacking: Epoch 142, Loss: 6.16189, Surrogate test score: 0.32381
Attacking: Epoch 143, Loss: 6.15707, Surrogate test score: 0.32381
Attacking: Epoch 144, Loss: 6.15227, Surrogate test score: 0.32381
Attacking: Epoch 145, Loss: 6.14750, Surrogate test score: 0.32381
Attacking: Epoch 146, Loss: 6.14275, Surrogate test score: 0.32381
Attacking: Epoch 147, Loss: 6.13801, Surrogate test score: 0.32381
Attacking: Epoch 148, Loss: 6.13328, Surrogate test score: 0.32381
Attacking: Epoch 149, Loss: 6.12858, Surrogate test score: 0.32381
Attacking: Epoch 150, Loss: 6.12389, Surrogate test score: 0.32381
Attacking: Epoch 151, Loss: 6.11922, Surrogate test score: 0.32381
Attacking: Epoch 152, Loss: 6.11456, Surrogate test score: 0.32381
Attacking: Epoch 153, Loss: 6.10993, Surrogate test score: 0.32381
Attacking: Epoch 154, Loss: 6.10530, Surrogate test score: 0.32381
Attacking: Epoch 155, Loss: 6.10069, Surrogate test score: 0.32381
Attacking: Epoch 156, Loss: 6.09609, Surrogate test score: 0.32381
Attacking: Epoch 157, Loss: 6.09151, Surrogate test score: 0.32381
Attacking: Epoch 158, Loss: 6.08694, Surrogate test score: 0.32381
Attacking: Epoch 159, Loss: 6.08238, Surrogate test score: 0.32381
