nohup: ignoring input
Namespace(attack_method='TDGIA', cuda=True, dataset='Flickr', debug=True, defense_mode='none', device_id=1, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=64, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.4, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='GNNGuard', thrd=0.5, train_lr=0.02, trigger_prob=0.5, trigger_size=3, trojan_epochs=1000, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[89250, 500], edge_index=[2, 899756], y=[89250], train_mask=[89250], val_mask=[89250], test_mask=[89250])
Length of training set: 17850
Training benign model Finished!
Benign CA: 0.3607
./selected_nodes/Flickr/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.9459304809570312
acc_val: 0.4119
Epoch 10, training loss: 1.6337672472000122
acc_val: 0.4119
Epoch 20, training loss: 1.6217806339263916
acc_val: 0.4119
Epoch 30, training loss: 1.6064249277114868
acc_val: 0.4119
Epoch 40, training loss: 1.5968043804168701
acc_val: 0.4119
Epoch 50, training loss: 1.5881990194320679
acc_val: 0.4118
Epoch 60, training loss: 1.5813703536987305
acc_val: 0.4129
Epoch 70, training loss: 1.5755387544631958
acc_val: 0.4139
Epoch 80, training loss: 1.5700219869613647
acc_val: 0.4160
Epoch 90, training loss: 1.5626842975616455
acc_val: 0.4193
Epoch 100, training loss: 1.555392861366272
acc_val: 0.4269
Epoch 110, training loss: 1.5447099208831787
acc_val: 0.4342
Epoch 120, training loss: 1.5389370918273926
acc_val: 0.4404
Epoch 130, training loss: 1.5334579944610596
acc_val: 0.4480
Epoch 140, training loss: 1.5311568975448608
acc_val: 0.4501
Epoch 150, training loss: 1.5291898250579834
acc_val: 0.4499
Epoch 160, training loss: 1.5288387537002563
acc_val: 0.4494
Epoch 170, training loss: 1.5283433198928833
acc_val: 0.4468
Epoch 180, training loss: 1.527739405632019
acc_val: 0.4499
Epoch 190, training loss: 1.5278747081756592
acc_val: 0.4533
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0028
target class rate on Vs: 0.0672
accuracy on clean test nodes: 0.4590
torch.Size([899756])
torch.Size([89250, 500])
Attacking: Sequential inject 5355/26775 nodes, target 8925/8925 nodes
Attacking: Epoch 0, Loss: 17.56016, Surrogate test score: 0.69838
Attacking: Epoch 1, Loss: 16.73774, Surrogate test score: 0.65938
Attacking: Epoch 2, Loss: 15.92460, Surrogate test score: 0.62543
Attacking: Epoch 3, Loss: 15.14591, Surrogate test score: 0.59305
Attacking: Epoch 4, Loss: 14.41323, Surrogate test score: 0.56247
Attacking: Epoch 5, Loss: 13.72337, Surrogate test score: 0.53378
Attacking: Epoch 6, Loss: 13.07102, Surrogate test score: 0.50308
Attacking: Epoch 7, Loss: 12.44454, Surrogate test score: 0.47429
Attacking: Epoch 8, Loss: 11.83791, Surrogate test score: 0.44885
Attacking: Epoch 9, Loss: 11.25397, Surrogate test score: 0.42633
Attacking: Epoch 10, Loss: 10.70137, Surrogate test score: 0.40549
Attacking: Epoch 11, Loss: 10.19097, Surrogate test score: 0.38969
Attacking: Epoch 12, Loss: 9.73050, Surrogate test score: 0.37591
Attacking: Epoch 13, Loss: 9.32415, Surrogate test score: 0.36482
Attacking: Epoch 14, Loss: 8.97165, Surrogate test score: 0.35563
Attacking: Epoch 15, Loss: 8.66852, Surrogate test score: 0.34779
Attacking: Epoch 16, Loss: 8.41168, Surrogate test score: 0.34252
Attacking: Epoch 17, Loss: 8.19636, Surrogate test score: 0.33737
Attacking: Epoch 18, Loss: 8.01730, Surrogate test score: 0.33490
Attacking: Epoch 19, Loss: 7.86946, Surrogate test score: 0.33232
Attacking: Epoch 20, Loss: 7.74527, Surrogate test score: 0.32975
Attacking: Epoch 21, Loss: 7.64151, Surrogate test score: 0.32829
Attacking: Epoch 22, Loss: 7.55523, Surrogate test score: 0.32762
Attacking: Epoch 23, Loss: 7.48287, Surrogate test score: 0.32672
Attacking: Epoch 24, Loss: 7.42142, Surrogate test score: 0.32672
Attacking: Epoch 25, Loss: 7.36852, Surrogate test score: 0.32650
Attacking: Epoch 26, Loss: 7.32268, Surrogate test score: 0.32650
Attacking: Epoch 27, Loss: 7.28248, Surrogate test score: 0.32650
Attacking: Epoch 28, Loss: 7.24575, Surrogate test score: 0.32650
Attacking: Epoch 29, Loss: 7.21120, Surrogate test score: 0.32650
Attacking: Epoch 30, Loss: 7.17835, Surrogate test score: 0.32650
Attacking: Epoch 31, Loss: 7.14725, Surrogate test score: 0.32627
Attacking: Epoch 32, Loss: 7.11751, Surrogate test score: 0.32605
Attacking: Epoch 33, Loss: 7.08909, Surrogate test score: 0.32605
Attacking: Epoch 34, Loss: 7.06198, Surrogate test score: 0.32605
Attacking: Epoch 35, Loss: 7.03619, Surrogate test score: 0.32594
Attacking: Epoch 36, Loss: 7.01152, Surrogate test score: 0.32594
Attacking: Epoch 37, Loss: 6.98805, Surrogate test score: 0.32594
Attacking: Epoch 38, Loss: 6.96564, Surrogate test score: 0.32594
Attacking: Epoch 39, Loss: 6.94429, Surrogate test score: 0.32594
Attacking: Epoch 40, Loss: 6.92394, Surrogate test score: 0.32594
Attacking: Epoch 41, Loss: 6.90453, Surrogate test score: 0.32583
Attacking: Epoch 42, Loss: 6.88592, Surrogate test score: 0.32583
Attacking: Epoch 43, Loss: 6.86812, Surrogate test score: 0.32583
Attacking: Epoch 44, Loss: 6.85105, Surrogate test score: 0.32583
Attacking: Epoch 45, Loss: 6.83467, Surrogate test score: 0.32583
Attacking: Epoch 46, Loss: 6.81893, Surrogate test score: 0.32583
Attacking: Epoch 47, Loss: 6.80384, Surrogate test score: 0.32583
Attacking: Epoch 48, Loss: 6.78937, Surrogate test score: 0.32583
Attacking: Epoch 49, Loss: 6.77550, Surrogate test score: 0.32583
Attacking: Epoch 50, Loss: 6.76215, Surrogate test score: 0.32571
Attacking: Epoch 51, Loss: 6.74929, Surrogate test score: 0.32571
Attacking: Epoch 52, Loss: 6.73688, Surrogate test score: 0.32571
Attacking: Epoch 53, Loss: 6.72494, Surrogate test score: 0.32571
Attacking: Epoch 54, Loss: 6.71336, Surrogate test score: 0.32571
Attacking: Epoch 55, Loss: 6.70216, Surrogate test score: 0.32571
Attacking: Epoch 56, Loss: 6.69123, Surrogate test score: 0.32571
Attacking: Epoch 57, Loss: 6.68058, Surrogate test score: 0.32571
Attacking: Epoch 58, Loss: 6.67020, Surrogate test score: 0.32560
Attacking: Epoch 59, Loss: 6.66011, Surrogate test score: 0.32549
Attacking: Epoch 60, Loss: 6.65033, Surrogate test score: 0.32538
Attacking: Epoch 61, Loss: 6.64088, Surrogate test score: 0.32538
Attacking: Epoch 62, Loss: 6.63162, Surrogate test score: 0.32538
Attacking: Epoch 63, Loss: 6.62258, Surrogate test score: 0.32538
Attacking: Epoch 64, Loss: 6.61370, Surrogate test score: 0.32538
Attacking: Epoch 65, Loss: 6.60500, Surrogate test score: 0.32538
Attacking: Epoch 66, Loss: 6.59650, Surrogate test score: 0.32538
Attacking: Epoch 67, Loss: 6.58820, Surrogate test score: 0.32538
Attacking: Epoch 68, Loss: 6.58014, Surrogate test score: 0.32538
Attacking: Epoch 69, Loss: 6.57227, Surrogate test score: 0.32538
Attacking: Epoch 70, Loss: 6.56452, Surrogate test score: 0.32538
Attacking: Epoch 71, Loss: 6.55689, Surrogate test score: 0.32538
Attacking: Epoch 72, Loss: 6.54934, Surrogate test score: 0.32538
Attacking: Epoch 73, Loss: 6.54194, Surrogate test score: 0.32538
Attacking: Epoch 74, Loss: 6.53466, Surrogate test score: 0.32538
Attacking: Epoch 75, Loss: 6.52752, Surrogate test score: 0.32538
Attacking: Epoch 76, Loss: 6.52050, Surrogate test score: 0.32527
Attacking: Epoch 77, Loss: 6.51359, Surrogate test score: 0.32527
Attacking: Epoch 78, Loss: 6.50679, Surrogate test score: 0.32527
Attacking: Epoch 79, Loss: 6.50008, Surrogate test score: 0.32527
Attacking: Epoch 80, Loss: 6.49348, Surrogate test score: 0.32527
Attacking: Epoch 81, Loss: 6.48695, Surrogate test score: 0.32527
Attacking: Epoch 82, Loss: 6.48052, Surrogate test score: 0.32527
Attacking: Epoch 83, Loss: 6.47419, Surrogate test score: 0.32515
Attacking: Epoch 84, Loss: 6.46798, Surrogate test score: 0.32515
Attacking: Epoch 85, Loss: 6.46185, Surrogate test score: 0.32515
Attacking: Epoch 86, Loss: 6.45580, Surrogate test score: 0.32515
Attacking: Epoch 87, Loss: 6.44978, Surrogate test score: 0.32515
Attacking: Epoch 88, Loss: 6.44383, Surrogate test score: 0.32515
Attacking: Epoch 89, Loss: 6.43796, Surrogate test score: 0.32515
Attacking: Epoch 90, Loss: 6.43214, Surrogate test score: 0.32515
Attacking: Epoch 91, Loss: 6.42637, Surrogate test score: 0.32515
Attacking: Epoch 92, Loss: 6.42065, Surrogate test score: 0.32515
Attacking: Epoch 93, Loss: 6.41497, Surrogate test score: 0.32515
Attacking: Epoch 94, Loss: 6.40934, Surrogate test score: 0.32515
Attacking: Epoch 95, Loss: 6.40374, Surrogate test score: 0.32515
Attacking: Epoch 96, Loss: 6.39818, Surrogate test score: 0.32504
Attacking: Epoch 97, Loss: 6.39266, Surrogate test score: 0.32504
Attacking: Epoch 98, Loss: 6.38716, Surrogate test score: 0.32504
Attacking: Epoch 99, Loss: 6.38170, Surrogate test score: 0.32504
Attacking: Epoch 100, Loss: 6.37630, Surrogate test score: 0.32493
Attacking: Epoch 101, Loss: 6.37092, Surrogate test score: 0.32493
Attacking: Epoch 102, Loss: 6.36559, Surrogate test score: 0.32493
Attacking: Epoch 103, Loss: 6.36027, Surrogate test score: 0.32493
Attacking: Epoch 104, Loss: 6.35496, Surrogate test score: 0.32493
Attacking: Epoch 105, Loss: 6.34967, Surrogate test score: 0.32493
Attacking: Epoch 106, Loss: 6.34439, Surrogate test score: 0.32493
Attacking: Epoch 107, Loss: 6.33915, Surrogate test score: 0.32493
Attacking: Epoch 108, Loss: 6.33393, Surrogate test score: 0.32493
Attacking: Epoch 109, Loss: 6.32874, Surrogate test score: 0.32493
Attacking: Epoch 110, Loss: 6.32357, Surrogate test score: 0.32493
Attacking: Epoch 111, Loss: 6.31841, Surrogate test score: 0.32493
Attacking: Epoch 112, Loss: 6.31326, Surrogate test score: 0.32493
Attacking: Epoch 113, Loss: 6.30812, Surrogate test score: 0.32493
Attacking: Epoch 114, Loss: 6.30299, Surrogate test score: 0.32493
Attacking: Epoch 115, Loss: 6.29788, Surrogate test score: 0.32493
Attacking: Epoch 116, Loss: 6.29278, Surrogate test score: 0.32493
Attacking: Epoch 117, Loss: 6.28768, Surrogate test score: 0.32493
Attacking: Epoch 118, Loss: 6.28259, Surrogate test score: 0.32493
Attacking: Epoch 119, Loss: 6.27753, Surrogate test score: 0.32493
Attacking: Epoch 120, Loss: 6.27247, Surrogate test score: 0.32493
Attacking: Epoch 121, Loss: 6.26742, Surrogate test score: 0.32493
Attacking: Epoch 122, Loss: 6.26239, Surrogate test score: 0.32493
Attacking: Epoch 123, Loss: 6.25738, Surrogate test score: 0.32493
Attacking: Epoch 124, Loss: 6.25235, Surrogate test score: 0.32493
Attacking: Epoch 125, Loss: 6.24734, Surrogate test score: 0.32493
Attacking: Epoch 126, Loss: 6.24233, Surrogate test score: 0.32493
Attacking: Epoch 127, Loss: 6.23734, Surrogate test score: 0.32493
Attacking: Epoch 128, Loss: 6.23236, Surrogate test score: 0.32493
Attacking: Epoch 129, Loss: 6.22739, Surrogate test score: 0.32493
Attacking: Epoch 130, Loss: 6.22249, Surrogate test score: 0.32493
Attacking: Epoch 131, Loss: 6.21752, Surrogate test score: 0.32493
Attacking: Epoch 132, Loss: 6.21256, Surrogate test score: 0.32493
Attacking: Epoch 133, Loss: 6.20766, Surrogate test score: 0.32493
Attacking: Epoch 134, Loss: 6.20277, Surrogate test score: 0.32493
Attacking: Epoch 135, Loss: 6.19788, Surrogate test score: 0.32493
Attacking: Epoch 136, Loss: 6.19301, Surrogate test score: 0.32493
Attacking: Epoch 137, Loss: 6.18813, Surrogate test score: 0.32493
Attacking: Epoch 138, Loss: 6.18328, Surrogate test score: 0.32493
Attacking: Epoch 139, Loss: 6.17843, Surrogate test score: 0.32493
Attacking: Epoch 140, Loss: 6.17359, Surrogate test score: 0.32493
Attacking: Epoch 141, Loss: 6.16879, Surrogate test score: 0.32493
Attacking: Epoch 142, Loss: 6.16399, Surrogate test score: 0.32493
Attacking: Epoch 143, Loss: 6.15918, Surrogate test score: 0.32493
Attacking: Epoch 144, Loss: 6.15440, Surrogate test score: 0.32493
Attacking: Epoch 145, Loss: 6.14964, Surrogate test score: 0.32493
Attacking: Epoch 146, Loss: 6.14490, Surrogate test score: 0.32493
Attacking: Epoch 147, Loss: 6.14018, Surrogate test score: 0.32493
Attacking: Epoch 148, Loss: 6.13544, Surrogate test score: 0.32493
Attacking: Epoch 149, Loss: 6.13072, Surrogate test score: 0.32482
