nohup: ignoring input
Namespace(attack_method='TDGIA', cuda=True, dataset='Flickr', debug=True, defense_mode='prune', device_id=3, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=64, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.4, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='GCN', thrd=0.5, train_lr=0.02, trigger_prob=0.5, trigger_size=3, trojan_epochs=1000, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[89250, 500], edge_index=[2, 899756], y=[89250], train_mask=[89250], val_mask=[89250], test_mask=[89250])
Length of training set: 17850
Training benign model Finished!
Benign CA: 0.2062
./selected_nodes/Flickr/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.9452153444290161
acc_val: 0.4119
Epoch 10, training loss: 1.6309700012207031
acc_val: 0.4119
Epoch 20, training loss: 1.6187177896499634
acc_val: 0.4119
Epoch 30, training loss: 1.605920433998108
acc_val: 0.4117
Epoch 40, training loss: 1.5945312976837158
acc_val: 0.4119
Epoch 50, training loss: 1.5863348245620728
acc_val: 0.4114
Epoch 60, training loss: 1.5802758932113647
acc_val: 0.4139
Epoch 70, training loss: 1.5742063522338867
acc_val: 0.4133
Epoch 80, training loss: 1.5673242807388306
acc_val: 0.4158
Epoch 90, training loss: 1.5605494976043701
acc_val: 0.4211
Epoch 100, training loss: 1.551489233970642
acc_val: 0.4271
Epoch 110, training loss: 1.5445424318313599
acc_val: 0.4266
Epoch 120, training loss: 1.5378440618515015
acc_val: 0.4392
Epoch 130, training loss: 1.5354580879211426
acc_val: 0.4420
Epoch 140, training loss: 1.5312683582305908
acc_val: 0.4389
Epoch 150, training loss: 1.5314425230026245
acc_val: 0.4432
Epoch 160, training loss: 1.5311552286148071
acc_val: 0.4457
Epoch 170, training loss: 1.527440071105957
acc_val: 0.4492
Epoch 180, training loss: 1.5292843580245972
acc_val: 0.4463
Epoch 190, training loss: 1.5266375541687012
acc_val: 0.4492
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0000
target class rate on Vs: 0.0672
accuracy on clean test nodes: 0.4193
torch.Size([899756])
torch.Size([89250, 500])
Attacking: Sequential inject 5355/26775 nodes, target 8925/8925 nodes
Attacking: Epoch 0, Loss: 18.50232, Surrogate test score: 0.71092
Attacking: Epoch 1, Loss: 17.60594, Surrogate test score: 0.67518
Attacking: Epoch 2, Loss: 16.72763, Surrogate test score: 0.64370
Attacking: Epoch 3, Loss: 15.88720, Surrogate test score: 0.60964
Attacking: Epoch 4, Loss: 15.09177, Surrogate test score: 0.57860
Attacking: Epoch 5, Loss: 14.34667, Surrogate test score: 0.54891
Attacking: Epoch 6, Loss: 13.65191, Surrogate test score: 0.52392
Attacking: Epoch 7, Loss: 13.00189, Surrogate test score: 0.49793
Attacking: Epoch 8, Loss: 12.39321, Surrogate test score: 0.47328
Attacking: Epoch 9, Loss: 11.82073, Surrogate test score: 0.45333
Attacking: Epoch 10, Loss: 11.28251, Surrogate test score: 0.43417
Attacking: Epoch 11, Loss: 10.78037, Surrogate test score: 0.41356
Attacking: Epoch 12, Loss: 10.31476, Surrogate test score: 0.39866
Attacking: Epoch 13, Loss: 9.88773, Surrogate test score: 0.38286
Attacking: Epoch 14, Loss: 9.49934, Surrogate test score: 0.37053
Attacking: Epoch 15, Loss: 9.14956, Surrogate test score: 0.36112
Attacking: Epoch 16, Loss: 8.84215, Surrogate test score: 0.35294
Attacking: Epoch 17, Loss: 8.57395, Surrogate test score: 0.34611
Attacking: Epoch 18, Loss: 8.34285, Surrogate test score: 0.34084
Attacking: Epoch 19, Loss: 8.14616, Surrogate test score: 0.33625
Attacking: Epoch 20, Loss: 7.97944, Surrogate test score: 0.33289
Attacking: Epoch 21, Loss: 7.83934, Surrogate test score: 0.32997
Attacking: Epoch 22, Loss: 7.72229, Surrogate test score: 0.32896
Attacking: Epoch 23, Loss: 7.62507, Surrogate test score: 0.32784
Attacking: Epoch 24, Loss: 7.54399, Surrogate test score: 0.32672
Attacking: Epoch 25, Loss: 7.47609, Surrogate test score: 0.32571
Attacking: Epoch 26, Loss: 7.41917, Surrogate test score: 0.32549
Attacking: Epoch 27, Loss: 7.37091, Surrogate test score: 0.32493
Attacking: Epoch 28, Loss: 7.32920, Surrogate test score: 0.32459
Attacking: Epoch 29, Loss: 7.29259, Surrogate test score: 0.32448
Attacking: Epoch 30, Loss: 7.25994, Surrogate test score: 0.32448
Attacking: Epoch 31, Loss: 7.23068, Surrogate test score: 0.32437
Attacking: Epoch 32, Loss: 7.20401, Surrogate test score: 0.32437
Attacking: Epoch 33, Loss: 7.17877, Surrogate test score: 0.32415
Attacking: Epoch 34, Loss: 7.15443, Surrogate test score: 0.32403
Attacking: Epoch 35, Loss: 7.13093, Surrogate test score: 0.32403
Attacking: Epoch 36, Loss: 7.10815, Surrogate test score: 0.32403
Attacking: Epoch 37, Loss: 7.08619, Surrogate test score: 0.32392
Attacking: Epoch 38, Loss: 7.06515, Surrogate test score: 0.32392
Attacking: Epoch 39, Loss: 7.04513, Surrogate test score: 0.32392
Attacking: Epoch 40, Loss: 7.02599, Surrogate test score: 0.32392
Attacking: Epoch 41, Loss: 7.00748, Surrogate test score: 0.32392
Attacking: Epoch 42, Loss: 6.98953, Surrogate test score: 0.32381
Attacking: Epoch 43, Loss: 6.97207, Surrogate test score: 0.32381
Attacking: Epoch 44, Loss: 6.95505, Surrogate test score: 0.32381
Attacking: Epoch 45, Loss: 6.93843, Surrogate test score: 0.32381
Attacking: Epoch 46, Loss: 6.92218, Surrogate test score: 0.32381
Attacking: Epoch 47, Loss: 6.90628, Surrogate test score: 0.32381
Attacking: Epoch 48, Loss: 6.89069, Surrogate test score: 0.32381
Attacking: Epoch 49, Loss: 6.87541, Surrogate test score: 0.32381
Attacking: Epoch 50, Loss: 6.86044, Surrogate test score: 0.32381
Attacking: Epoch 51, Loss: 6.84577, Surrogate test score: 0.32381
Attacking: Epoch 52, Loss: 6.83141, Surrogate test score: 0.32381
Attacking: Epoch 53, Loss: 6.81732, Surrogate test score: 0.32381
Attacking: Epoch 54, Loss: 6.80353, Surrogate test score: 0.32381
Attacking: Epoch 55, Loss: 6.79004, Surrogate test score: 0.32381
Attacking: Epoch 56, Loss: 6.77683, Surrogate test score: 0.32381
Attacking: Epoch 57, Loss: 6.76392, Surrogate test score: 0.32381
Attacking: Epoch 58, Loss: 6.75124, Surrogate test score: 0.32381
Attacking: Epoch 59, Loss: 6.73883, Surrogate test score: 0.32381
Attacking: Epoch 60, Loss: 6.72664, Surrogate test score: 0.32381
Attacking: Epoch 61, Loss: 6.71469, Surrogate test score: 0.32381
Attacking: Epoch 62, Loss: 6.70298, Surrogate test score: 0.32381
Attacking: Epoch 63, Loss: 6.69153, Surrogate test score: 0.32381
Attacking: Epoch 64, Loss: 6.68031, Surrogate test score: 0.32381
Attacking: Epoch 65, Loss: 6.66934, Surrogate test score: 0.32381
Attacking: Epoch 66, Loss: 6.65861, Surrogate test score: 0.32381
Attacking: Epoch 67, Loss: 6.64809, Surrogate test score: 0.32381
Attacking: Epoch 68, Loss: 6.63779, Surrogate test score: 0.32381
Attacking: Epoch 69, Loss: 6.62769, Surrogate test score: 0.32381
Attacking: Epoch 70, Loss: 6.61776, Surrogate test score: 0.32381
Attacking: Epoch 71, Loss: 6.60802, Surrogate test score: 0.32381
Attacking: Epoch 72, Loss: 6.59845, Surrogate test score: 0.32381
Attacking: Epoch 73, Loss: 6.58910, Surrogate test score: 0.32381
Attacking: Epoch 74, Loss: 6.57993, Surrogate test score: 0.32381
Attacking: Epoch 75, Loss: 6.57095, Surrogate test score: 0.32381
Attacking: Epoch 76, Loss: 6.56215, Surrogate test score: 0.32381
Attacking: Epoch 77, Loss: 6.55351, Surrogate test score: 0.32381
Attacking: Epoch 78, Loss: 6.54502, Surrogate test score: 0.32381
Attacking: Epoch 79, Loss: 6.53666, Surrogate test score: 0.32381
Attacking: Epoch 80, Loss: 6.52846, Surrogate test score: 0.32381
Attacking: Epoch 81, Loss: 6.52037, Surrogate test score: 0.32381
Attacking: Epoch 82, Loss: 6.51244, Surrogate test score: 0.32381
Attacking: Epoch 83, Loss: 6.50469, Surrogate test score: 0.32381
Attacking: Epoch 84, Loss: 6.49707, Surrogate test score: 0.32381
Attacking: Epoch 85, Loss: 6.48958, Surrogate test score: 0.32381
Attacking: Epoch 86, Loss: 6.48221, Surrogate test score: 0.32381
Attacking: Epoch 87, Loss: 6.47496, Surrogate test score: 0.32381
Attacking: Epoch 88, Loss: 6.46783, Surrogate test score: 0.32381
Attacking: Epoch 89, Loss: 6.46081, Surrogate test score: 0.32381
Attacking: Epoch 90, Loss: 6.45389, Surrogate test score: 0.32381
Attacking: Epoch 91, Loss: 6.44707, Surrogate test score: 0.32381
Attacking: Epoch 92, Loss: 6.44035, Surrogate test score: 0.32370
Attacking: Epoch 93, Loss: 6.43371, Surrogate test score: 0.32370
Attacking: Epoch 94, Loss: 6.42716, Surrogate test score: 0.32370
Attacking: Epoch 95, Loss: 6.42070, Surrogate test score: 0.32370
Attacking: Epoch 96, Loss: 6.41432, Surrogate test score: 0.32370
Attacking: Epoch 97, Loss: 6.40800, Surrogate test score: 0.32370
Attacking: Epoch 98, Loss: 6.40176, Surrogate test score: 0.32370
Attacking: Epoch 99, Loss: 6.39559, Surrogate test score: 0.32370
Attacking: Epoch 100, Loss: 6.38947, Surrogate test score: 0.32370
Attacking: Epoch 101, Loss: 6.38342, Surrogate test score: 0.32370
Attacking: Epoch 102, Loss: 6.37744, Surrogate test score: 0.32370
Attacking: Epoch 103, Loss: 6.37150, Surrogate test score: 0.32370
Attacking: Epoch 104, Loss: 6.36563, Surrogate test score: 0.32370
Attacking: Epoch 105, Loss: 6.35980, Surrogate test score: 0.32370
Attacking: Epoch 106, Loss: 6.35403, Surrogate test score: 0.32370
Attacking: Epoch 107, Loss: 6.34830, Surrogate test score: 0.32370
Attacking: Epoch 108, Loss: 6.34263, Surrogate test score: 0.32370
Attacking: Epoch 109, Loss: 6.33700, Surrogate test score: 0.32370
Attacking: Epoch 110, Loss: 6.33142, Surrogate test score: 0.32370
Attacking: Epoch 111, Loss: 6.32587, Surrogate test score: 0.32370
Attacking: Epoch 112, Loss: 6.32035, Surrogate test score: 0.32370
Attacking: Epoch 113, Loss: 6.31489, Surrogate test score: 0.32370
Attacking: Epoch 114, Loss: 6.30944, Surrogate test score: 0.32370
Attacking: Epoch 115, Loss: 6.30403, Surrogate test score: 0.32370
Attacking: Epoch 116, Loss: 6.29866, Surrogate test score: 0.32370
Attacking: Epoch 117, Loss: 6.29332, Surrogate test score: 0.32370
Attacking: Epoch 118, Loss: 6.28800, Surrogate test score: 0.32370
Attacking: Epoch 119, Loss: 6.28273, Surrogate test score: 0.32370
Attacking: Epoch 120, Loss: 6.27745, Surrogate test score: 0.32370
Attacking: Epoch 121, Loss: 6.27221, Surrogate test score: 0.32370
Attacking: Epoch 122, Loss: 6.26700, Surrogate test score: 0.32370
Attacking: Epoch 123, Loss: 6.26181, Surrogate test score: 0.32370
Attacking: Epoch 124, Loss: 6.25664, Surrogate test score: 0.32370
Attacking: Epoch 125, Loss: 6.25150, Surrogate test score: 0.32370
Attacking: Epoch 126, Loss: 6.24638, Surrogate test score: 0.32370
Attacking: Epoch 127, Loss: 6.24127, Surrogate test score: 0.32370
Attacking: Epoch 128, Loss: 6.23619, Surrogate test score: 0.32370
Attacking: Epoch 129, Loss: 6.23113, Surrogate test score: 0.32370
Attacking: Epoch 130, Loss: 6.22610, Surrogate test score: 0.32370
Attacking: Epoch 131, Loss: 6.22107, Surrogate test score: 0.32370
Attacking: Epoch 132, Loss: 6.21607, Surrogate test score: 0.32370
Attacking: Epoch 133, Loss: 6.21108, Surrogate test score: 0.32370
Attacking: Epoch 134, Loss: 6.20612, Surrogate test score: 0.32370
Attacking: Epoch 135, Loss: 6.20120, Surrogate test score: 0.32370
Attacking: Epoch 136, Loss: 6.19628, Surrogate test score: 0.32370
Attacking: Epoch 137, Loss: 6.19138, Surrogate test score: 0.32370
Attacking: Epoch 138, Loss: 6.18648, Surrogate test score: 0.32370
Attacking: Epoch 139, Loss: 6.18162, Surrogate test score: 0.32370
Attacking: Epoch 140, Loss: 6.17676, Surrogate test score: 0.32370
Attacking: Epoch 141, Loss: 6.17191, Surrogate test score: 0.32370
Attacking: Epoch 142, Loss: 6.16710, Surrogate test score: 0.32370
Attacking: Epoch 143, Loss: 6.16231, Surrogate test score: 0.32370
Attacking: Epoch 144, Loss: 6.15751, Surrogate test score: 0.32370
Attacking: Epoch 145, Loss: 6.15274, Surrogate test score: 0.32370
Attacking: Epoch 146, Loss: 6.14798, Surrogate test score: 0.32370
Attacking: Epoch 147, Loss: 6.14327, Surrogate test score: 0.32370
Attacking: Epoch 148, Loss: 6.13856, Surrogate test score: 0.32370
Attacking: Epoch 149, Loss: 6.13383, Surrogate test score: 0.32370
