nohup: ignoring input
Namespace(attack_method='TDGIA', cuda=True, dataset='Flickr', debug=True, defense_mode='none', device_id=0, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=64, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.4, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='RobustGCN', thrd=0.5, train_lr=0.02, trigger_prob=0.5, trigger_size=3, trojan_epochs=1000, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[89250, 500], edge_index=[2, 899756], y=[89250], train_mask=[89250], val_mask=[89250], test_mask=[89250])
sp_train_adj SparseTensor(row=tensor([    0,     0,     0,  ..., 89249, 89249, 89249], device='cuda:0'),
             col=tensor([ 1694,  2639,  4953,  ..., 12526, 28631, 52736], device='cuda:0'),
             size=(89250, 89250), nnz=576762, density=0.01%)
Benign CA: 0.4111
./selected_nodes/Flickr/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.945176601409912
acc_val: 0.4119
Epoch 10, training loss: 1.620200753211975
acc_val: 0.4119
Epoch 20, training loss: 1.6128506660461426
acc_val: 0.4119
Epoch 30, training loss: 1.6046487092971802
acc_val: 0.4119
Epoch 40, training loss: 1.5925995111465454
acc_val: 0.4119
Epoch 50, training loss: 1.5841714143753052
acc_val: 0.4121
Epoch 60, training loss: 1.5773963928222656
acc_val: 0.4145
Epoch 70, training loss: 1.5705196857452393
acc_val: 0.4152
Epoch 80, training loss: 1.5638571977615356
acc_val: 0.4179
Epoch 90, training loss: 1.5581196546554565
acc_val: 0.4211
Epoch 100, training loss: 1.5524835586547852
acc_val: 0.4251
Epoch 110, training loss: 1.5472592115402222
acc_val: 0.4276
Epoch 120, training loss: 1.54263174533844
acc_val: 0.4365
Epoch 130, training loss: 1.5393248796463013
acc_val: 0.4350
Epoch 140, training loss: 1.535413384437561
acc_val: 0.4343
Epoch 150, training loss: 1.5335779190063477
acc_val: 0.4420
Epoch 160, training loss: 1.5322076082229614
acc_val: 0.4440
Epoch 170, training loss: 1.530367136001587
acc_val: 0.4478
Epoch 180, training loss: 1.5317000150680542
acc_val: 0.4415
Epoch 190, training loss: 1.5287206172943115
acc_val: 0.4533
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0000
target class rate on Vs: 0.0672
accuracy on clean test nodes: 0.4090
torch.Size([899756])
torch.Size([89250, 500])
Attacking: Sequential inject 5355/26775 nodes, target 8925/8925 nodes
Attacking: Epoch 0, Loss: 17.71089, Surrogate test score: 0.69143
Attacking: Epoch 1, Loss: 16.90831, Surrogate test score: 0.65345
Attacking: Epoch 2, Loss: 16.11817, Surrogate test score: 0.61983
Attacking: Epoch 3, Loss: 15.35021, Surrogate test score: 0.58846
Attacking: Epoch 4, Loss: 14.61390, Surrogate test score: 0.55720
Attacking: Epoch 5, Loss: 13.90861, Surrogate test score: 0.53132
Attacking: Epoch 6, Loss: 13.23901, Surrogate test score: 0.50241
Attacking: Epoch 7, Loss: 12.60634, Surrogate test score: 0.47496
Attacking: Epoch 8, Loss: 12.01089, Surrogate test score: 0.45232
Attacking: Epoch 9, Loss: 11.44838, Surrogate test score: 0.43126
Attacking: Epoch 10, Loss: 10.91886, Surrogate test score: 0.41176
Attacking: Epoch 11, Loss: 10.42701, Surrogate test score: 0.39507
Attacking: Epoch 12, Loss: 9.97648, Surrogate test score: 0.38095
Attacking: Epoch 13, Loss: 9.57091, Surrogate test score: 0.36896
Attacking: Epoch 14, Loss: 9.21142, Surrogate test score: 0.36146
Attacking: Epoch 15, Loss: 8.89635, Surrogate test score: 0.35294
Attacking: Epoch 16, Loss: 8.62274, Surrogate test score: 0.34711
Attacking: Epoch 17, Loss: 8.38849, Surrogate test score: 0.34241
Attacking: Epoch 18, Loss: 8.19067, Surrogate test score: 0.33804
Attacking: Epoch 19, Loss: 8.02528, Surrogate test score: 0.33479
Attacking: Epoch 20, Loss: 7.88722, Surrogate test score: 0.33232
Attacking: Epoch 21, Loss: 7.77223, Surrogate test score: 0.33120
Attacking: Epoch 22, Loss: 7.67710, Surrogate test score: 0.33053
Attacking: Epoch 23, Loss: 7.59784, Surrogate test score: 0.33020
Attacking: Epoch 24, Loss: 7.53147, Surrogate test score: 0.32964
Attacking: Epoch 25, Loss: 7.47591, Surrogate test score: 0.32908
Attacking: Epoch 26, Loss: 7.42911, Surrogate test score: 0.32896
Attacking: Epoch 27, Loss: 7.38897, Surrogate test score: 0.32863
Attacking: Epoch 28, Loss: 7.35359, Surrogate test score: 0.32852
Attacking: Epoch 29, Loss: 7.32141, Surrogate test score: 0.32840
Attacking: Epoch 30, Loss: 7.29147, Surrogate test score: 0.32840
Attacking: Epoch 31, Loss: 7.26356, Surrogate test score: 0.32840
Attacking: Epoch 32, Loss: 7.23758, Surrogate test score: 0.32829
Attacking: Epoch 33, Loss: 7.21301, Surrogate test score: 0.32829
Attacking: Epoch 34, Loss: 7.18950, Surrogate test score: 0.32818
Attacking: Epoch 35, Loss: 7.16671, Surrogate test score: 0.32818
Attacking: Epoch 36, Loss: 7.14439, Surrogate test score: 0.32807
Attacking: Epoch 37, Loss: 7.12261, Surrogate test score: 0.32807
Attacking: Epoch 38, Loss: 7.10161, Surrogate test score: 0.32796
Attacking: Epoch 39, Loss: 7.08150, Surrogate test score: 0.32796
Attacking: Epoch 40, Loss: 7.06206, Surrogate test score: 0.32784
Attacking: Epoch 41, Loss: 7.04318, Surrogate test score: 0.32784
Attacking: Epoch 42, Loss: 7.02483, Surrogate test score: 0.32784
Attacking: Epoch 43, Loss: 7.00694, Surrogate test score: 0.32784
Attacking: Epoch 44, Loss: 6.98953, Surrogate test score: 0.32784
Attacking: Epoch 45, Loss: 6.97258, Surrogate test score: 0.32773
Attacking: Epoch 46, Loss: 6.95606, Surrogate test score: 0.32773
Attacking: Epoch 47, Loss: 6.93998, Surrogate test score: 0.32773
Attacking: Epoch 48, Loss: 6.92430, Surrogate test score: 0.32773
Attacking: Epoch 49, Loss: 6.90900, Surrogate test score: 0.32773
Attacking: Epoch 50, Loss: 6.89408, Surrogate test score: 0.32773
Attacking: Epoch 51, Loss: 6.87955, Surrogate test score: 0.32784
Attacking: Epoch 52, Loss: 6.86538, Surrogate test score: 0.32784
Attacking: Epoch 53, Loss: 6.85157, Surrogate test score: 0.32773
Attacking: Epoch 54, Loss: 6.83808, Surrogate test score: 0.32762
Attacking: Epoch 55, Loss: 6.82485, Surrogate test score: 0.32762
Attacking: Epoch 56, Loss: 6.81186, Surrogate test score: 0.32762
Attacking: Epoch 57, Loss: 6.79912, Surrogate test score: 0.32762
Attacking: Epoch 58, Loss: 6.78665, Surrogate test score: 0.32751
Attacking: Epoch 59, Loss: 6.77445, Surrogate test score: 0.32739
Attacking: Epoch 60, Loss: 6.76253, Surrogate test score: 0.32728
Attacking: Epoch 61, Loss: 6.75090, Surrogate test score: 0.32728
Attacking: Epoch 62, Loss: 6.73954, Surrogate test score: 0.32728
Attacking: Epoch 63, Loss: 6.72849, Surrogate test score: 0.32728
Attacking: Epoch 64, Loss: 6.71773, Surrogate test score: 0.32728
Attacking: Epoch 65, Loss: 6.70721, Surrogate test score: 0.32728
Attacking: Epoch 66, Loss: 6.69690, Surrogate test score: 0.32728
Attacking: Epoch 67, Loss: 6.68675, Surrogate test score: 0.32728
Attacking: Epoch 68, Loss: 6.67677, Surrogate test score: 0.32728
Attacking: Epoch 69, Loss: 6.66698, Surrogate test score: 0.32728
Attacking: Epoch 70, Loss: 6.65744, Surrogate test score: 0.32728
Attacking: Epoch 71, Loss: 6.64813, Surrogate test score: 0.32728
Attacking: Epoch 72, Loss: 6.63907, Surrogate test score: 0.32728
Attacking: Epoch 73, Loss: 6.63020, Surrogate test score: 0.32717
Attacking: Epoch 74, Loss: 6.62148, Surrogate test score: 0.32717
Attacking: Epoch 75, Loss: 6.61291, Surrogate test score: 0.32717
Attacking: Epoch 76, Loss: 6.60446, Surrogate test score: 0.32717
Attacking: Epoch 77, Loss: 6.59616, Surrogate test score: 0.32717
Attacking: Epoch 78, Loss: 6.58801, Surrogate test score: 0.32717
Attacking: Epoch 79, Loss: 6.58002, Surrogate test score: 0.32717
Attacking: Epoch 80, Loss: 6.57220, Surrogate test score: 0.32717
Attacking: Epoch 81, Loss: 6.56452, Surrogate test score: 0.32717
Attacking: Epoch 82, Loss: 6.55698, Surrogate test score: 0.32717
Attacking: Epoch 83, Loss: 6.54956, Surrogate test score: 0.32717
Attacking: Epoch 84, Loss: 6.54225, Surrogate test score: 0.32717
Attacking: Epoch 85, Loss: 6.53504, Surrogate test score: 0.32717
Attacking: Epoch 86, Loss: 6.52793, Surrogate test score: 0.32717
Attacking: Epoch 87, Loss: 6.52090, Surrogate test score: 0.32717
Attacking: Epoch 88, Loss: 6.51396, Surrogate test score: 0.32717
Attacking: Epoch 89, Loss: 6.50713, Surrogate test score: 0.32717
Attacking: Epoch 90, Loss: 6.50040, Surrogate test score: 0.32717
Attacking: Epoch 91, Loss: 6.49378, Surrogate test score: 0.32717
Attacking: Epoch 92, Loss: 6.48724, Surrogate test score: 0.32717
Attacking: Epoch 93, Loss: 6.48075, Surrogate test score: 0.32717
Attacking: Epoch 94, Loss: 6.47432, Surrogate test score: 0.32717
Attacking: Epoch 95, Loss: 6.46795, Surrogate test score: 0.32717
Attacking: Epoch 96, Loss: 6.46167, Surrogate test score: 0.32717
Attacking: Epoch 97, Loss: 6.45546, Surrogate test score: 0.32717
Attacking: Epoch 98, Loss: 6.44929, Surrogate test score: 0.32717
Attacking: Epoch 99, Loss: 6.44318, Surrogate test score: 0.32717
Attacking: Epoch 100, Loss: 6.43710, Surrogate test score: 0.32717
Attacking: Epoch 101, Loss: 6.43110, Surrogate test score: 0.32717
Attacking: Epoch 102, Loss: 6.42515, Surrogate test score: 0.32717
Attacking: Epoch 103, Loss: 6.41925, Surrogate test score: 0.32717
Attacking: Epoch 104, Loss: 6.41338, Surrogate test score: 0.32717
Attacking: Epoch 105, Loss: 6.40753, Surrogate test score: 0.32717
Attacking: Epoch 106, Loss: 6.40171, Surrogate test score: 0.32717
Attacking: Epoch 107, Loss: 6.39592, Surrogate test score: 0.32717
Attacking: Epoch 108, Loss: 6.39016, Surrogate test score: 0.32717
Attacking: Epoch 109, Loss: 6.38445, Surrogate test score: 0.32717
Attacking: Epoch 110, Loss: 6.37875, Surrogate test score: 0.32717
Attacking: Epoch 111, Loss: 6.37307, Surrogate test score: 0.32717
Attacking: Epoch 112, Loss: 6.36742, Surrogate test score: 0.32717
Attacking: Epoch 113, Loss: 6.36178, Surrogate test score: 0.32717
Attacking: Epoch 114, Loss: 6.35616, Surrogate test score: 0.32717
Attacking: Epoch 115, Loss: 6.35057, Surrogate test score: 0.32717
Attacking: Epoch 116, Loss: 6.34501, Surrogate test score: 0.32717
Attacking: Epoch 117, Loss: 6.33946, Surrogate test score: 0.32717
Attacking: Epoch 118, Loss: 6.33394, Surrogate test score: 0.32717
Attacking: Epoch 119, Loss: 6.32844, Surrogate test score: 0.32717
Attacking: Epoch 120, Loss: 6.32295, Surrogate test score: 0.32717
Attacking: Epoch 121, Loss: 6.31749, Surrogate test score: 0.32717
Attacking: Epoch 122, Loss: 6.31203, Surrogate test score: 0.32706
Attacking: Epoch 123, Loss: 6.30660, Surrogate test score: 0.32706
Attacking: Epoch 124, Loss: 6.30119, Surrogate test score: 0.32706
Attacking: Epoch 125, Loss: 6.29580, Surrogate test score: 0.32706
Attacking: Epoch 126, Loss: 6.29041, Surrogate test score: 0.32706
Attacking: Epoch 127, Loss: 6.28504, Surrogate test score: 0.32706
Attacking: Epoch 128, Loss: 6.27969, Surrogate test score: 0.32706
Attacking: Epoch 129, Loss: 6.27434, Surrogate test score: 0.32706
Attacking: Epoch 130, Loss: 6.26903, Surrogate test score: 0.32706
Attacking: Epoch 131, Loss: 6.26370, Surrogate test score: 0.32706
Attacking: Epoch 132, Loss: 6.25840, Surrogate test score: 0.32706
Attacking: Epoch 133, Loss: 6.25312, Surrogate test score: 0.32706
Attacking: Epoch 134, Loss: 6.24784, Surrogate test score: 0.32706
Attacking: Epoch 135, Loss: 6.24258, Surrogate test score: 0.32706
Attacking: Epoch 136, Loss: 6.23733, Surrogate test score: 0.32706
Attacking: Epoch 137, Loss: 6.23210, Surrogate test score: 0.32706
Attacking: Epoch 138, Loss: 6.22689, Surrogate test score: 0.32706
Attacking: Epoch 139, Loss: 6.22171, Surrogate test score: 0.32706
Attacking: Epoch 140, Loss: 6.21655, Surrogate test score: 0.32706
Attacking: Epoch 141, Loss: 6.21140, Surrogate test score: 0.32706
Attacking: Epoch 142, Loss: 6.20625, Surrogate test score: 0.32706
Attacking: Epoch 143, Loss: 6.20111, Surrogate test score: 0.32706
Attacking: Epoch 144, Loss: 6.19598, Surrogate test score: 0.32706
Attacking: Epoch 145, Loss: 6.19087, Surrogate test score: 0.32706
Attacking: Epoch 146, Loss: 6.18578, Surrogate test score: 0.32706
Attacking: Epoch 147, Loss: 6.18071, Surrogate test score: 0.32706
Attacking: Epoch 148, Loss: 6.17566, Surrogate test score: 0.32706
Attacking: Epoch 149, Loss: 6.17062, Surrogate test score: 0.32706
Attacking: Epoch 150, Loss: 6.16559, Surrogate test score: 0.32706
Attacking: Epoch 151, Loss: 6.16059, Surrogate test score: 0.32706
Attacking: Epoch 152, Loss: 6.15561, Surrogate test score: 0.32706
Attacking: Epoch 153, Loss: 6.15063, Surrogate test score: 0.32706
Attacking: Epoch 154, Loss: 6.14569, Surrogate test score: 0.32706
