nohup: ignoring input
Namespace(attack_method='AGIA', cuda=True, dataset='Pubmed', debug=True, defense_mode='none', device_id=2, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=32, homo_boost_thrd=0.5, homo_loss_weight=200.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.15, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='GNNGuard', thrd=0.5, train_lr=0.01, trigger_prob=0.5, trigger_size=3, trojan_epochs=1500, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[19717, 500], edge_index=[2, 88648], y=[19717], train_mask=[19717], val_mask=[19717], test_mask=[19717])
Length of training set: 3943
Training benign model Finished!
Benign CA: 0.3810
./selected_nodes/Pubmed/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.0977574586868286
acc_val: 0.4079
Epoch 10, training loss: 0.9774625897407532
acc_val: 0.6585
Epoch 20, training loss: 0.8631055951118469
acc_val: 0.7174
Epoch 30, training loss: 0.7565116286277771
acc_val: 0.7900
Epoch 40, training loss: 0.6646937727928162
acc_val: 0.8209
Epoch 50, training loss: 0.6035282015800476
acc_val: 0.8321
Epoch 60, training loss: 0.5616564154624939
acc_val: 0.8437
Epoch 70, training loss: 0.5309169888496399
acc_val: 0.8498
Epoch 80, training loss: 0.5117023587226868
acc_val: 0.8493
Epoch 90, training loss: 0.4920107424259186
acc_val: 0.8554
Epoch 100, training loss: 0.4745520055294037
acc_val: 0.8579
Epoch 110, training loss: 0.4643174111843109
acc_val: 0.8559
Epoch 120, training loss: 0.45630916953086853
acc_val: 0.8610
Epoch 130, training loss: 0.4442738890647888
acc_val: 0.8605
Epoch 140, training loss: 0.4397967755794525
acc_val: 0.8635
Epoch 150, training loss: 0.4333151578903198
acc_val: 0.8630
Epoch 160, training loss: 0.42696985602378845
acc_val: 0.8625
Epoch 170, training loss: 0.4205875098705292
acc_val: 0.8635
Epoch 180, training loss: 0.4133424162864685
acc_val: 0.8661
Epoch 190, training loss: 0.4166029691696167
acc_val: 0.8635
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0385
target class rate on Vs: 0.0000
accuracy on clean test nodes: 0.8224
torch.Size([88648])
torch.Size([19717, 500])
Attacking: Sequential inject 1183/5916 nodes, target 1972/1972 nodes
Attacking: Epoch 0, Loss: 17.08921, Surrogate test score: 0.61714
Attacking: Epoch 1, Loss: 15.94370, Surrogate test score: 0.57353
Attacking: Epoch 2, Loss: 15.17405, Surrogate test score: 0.55274
Attacking: Epoch 3, Loss: 14.56262, Surrogate test score: 0.53448
Attacking: Epoch 4, Loss: 14.06310, Surrogate test score: 0.51876
Attacking: Epoch 5, Loss: 13.68163, Surrogate test score: 0.50710
Attacking: Epoch 6, Loss: 13.38846, Surrogate test score: 0.49797
Attacking: Epoch 7, Loss: 13.14121, Surrogate test score: 0.49087
Attacking: Epoch 8, Loss: 12.95175, Surrogate test score: 0.48631
Attacking: Epoch 9, Loss: 12.80161, Surrogate test score: 0.48276
Attacking: Epoch 10, Loss: 12.66225, Surrogate test score: 0.47617
Attacking: Epoch 11, Loss: 12.53227, Surrogate test score: 0.47312
Attacking: Epoch 12, Loss: 12.42951, Surrogate test score: 0.47160
Attacking: Epoch 13, Loss: 12.34428, Surrogate test score: 0.46957
Attacking: Epoch 14, Loss: 12.26745, Surrogate test score: 0.46704
Attacking: Epoch 15, Loss: 12.19510, Surrogate test score: 0.46450
Attacking: Epoch 16, Loss: 12.13245, Surrogate test score: 0.46349
Attacking: Epoch 17, Loss: 12.06894, Surrogate test score: 0.46146
Attacking: Epoch 18, Loss: 12.00392, Surrogate test score: 0.45892
Attacking: Epoch 19, Loss: 11.93290, Surrogate test score: 0.45791
Attacking: Epoch 20, Loss: 11.87257, Surrogate test score: 0.45690
Attacking: Epoch 21, Loss: 11.82873, Surrogate test score: 0.45639
Attacking: Epoch 22, Loss: 11.79125, Surrogate test score: 0.45588
Attacking: Epoch 23, Loss: 11.75126, Surrogate test score: 0.45538
Attacking: Epoch 24, Loss: 11.71831, Surrogate test score: 0.45335
Attacking: Epoch 25, Loss: 11.68341, Surrogate test score: 0.45233
Attacking: Epoch 26, Loss: 11.65908, Surrogate test score: 0.45183
Attacking: Epoch 27, Loss: 11.63780, Surrogate test score: 0.45081
Attacking: Epoch 28, Loss: 11.61816, Surrogate test score: 0.45030
Attacking: Epoch 29, Loss: 11.59778, Surrogate test score: 0.44980
Attacking: Epoch 30, Loss: 11.57568, Surrogate test score: 0.44929
Attacking: Epoch 31, Loss: 11.54512, Surrogate test score: 0.44878
Attacking: Epoch 32, Loss: 11.50754, Surrogate test score: 0.44625
Attacking: Epoch 33, Loss: 11.45684, Surrogate test score: 0.44523
Attacking: Epoch 34, Loss: 11.41998, Surrogate test score: 0.44473
Attacking: Epoch 35, Loss: 11.38626, Surrogate test score: 0.44320
Attacking: Epoch 36, Loss: 11.35526, Surrogate test score: 0.44270
Attacking: Epoch 37, Loss: 11.32847, Surrogate test score: 0.44270
Attacking: Epoch 38, Loss: 11.30718, Surrogate test score: 0.44270
Attacking: Epoch 39, Loss: 11.28623, Surrogate test score: 0.44168
Attacking: Epoch 40, Loss: 11.26592, Surrogate test score: 0.44168
Attacking: Epoch 41, Loss: 11.24323, Surrogate test score: 0.44118
Attacking: Epoch 42, Loss: 11.21163, Surrogate test score: 0.44067
Attacking: Epoch 43, Loss: 11.18841, Surrogate test score: 0.44067
Attacking: Epoch 44, Loss: 11.17386, Surrogate test score: 0.44067
Attacking: Epoch 45, Loss: 11.15829, Surrogate test score: 0.44067
Attacking: Epoch 46, Loss: 11.12978, Surrogate test score: 0.43966
Attacking: Epoch 47, Loss: 11.10455, Surrogate test score: 0.43966
Attacking: Epoch 48, Loss: 11.08562, Surrogate test score: 0.43915
Attacking: Epoch 49, Loss: 11.06479, Surrogate test score: 0.43915
Attacking: Epoch 50, Loss: 11.05090, Surrogate test score: 0.43915
Attacking: Epoch 51, Loss: 11.03666, Surrogate test score: 0.43915
Attacking: Epoch 52, Loss: 11.01183, Surrogate test score: 0.43864
Attacking: Epoch 53, Loss: 10.99433, Surrogate test score: 0.43864
Attacking: Epoch 54, Loss: 10.96717, Surrogate test score: 0.43712
Attacking: Epoch 55, Loss: 10.92442, Surrogate test score: 0.43661
Attacking: Epoch 56, Loss: 10.87333, Surrogate test score: 0.43458
Attacking: Epoch 57, Loss: 10.83772, Surrogate test score: 0.43357
Attacking: Epoch 58, Loss: 10.80682, Surrogate test score: 0.43357
Attacking: Epoch 59, Loss: 10.79043, Surrogate test score: 0.43357
Attacking: Epoch 60, Loss: 10.76867, Surrogate test score: 0.43306
Attacking: Epoch 61, Loss: 10.74946, Surrogate test score: 0.43306
Attacking: Epoch 62, Loss: 10.73710, Surrogate test score: 0.43306
Attacking: Epoch 63, Loss: 10.72080, Surrogate test score: 0.43306
Attacking: Epoch 64, Loss: 10.67620, Surrogate test score: 0.43103
Attacking: Epoch 65, Loss: 10.62709, Surrogate test score: 0.43053
Attacking: Epoch 66, Loss: 10.61139, Surrogate test score: 0.43002
Attacking: Epoch 67, Loss: 10.58604, Surrogate test score: 0.43002
Attacking: Epoch 68, Loss: 10.55933, Surrogate test score: 0.42951
Attacking: Epoch 69, Loss: 10.53103, Surrogate test score: 0.42850
Attacking: Epoch 70, Loss: 10.50646, Surrogate test score: 0.42799
Attacking: Epoch 71, Loss: 10.48417, Surrogate test score: 0.42748
Attacking: Epoch 72, Loss: 10.45175, Surrogate test score: 0.42698
Attacking: Epoch 73, Loss: 10.43702, Surrogate test score: 0.42698
Attacking: Epoch 74, Loss: 10.39954, Surrogate test score: 0.42596
Attacking: Epoch 75, Loss: 10.37072, Surrogate test score: 0.42546
Attacking: Epoch 76, Loss: 10.35277, Surrogate test score: 0.42495
Attacking: Epoch 77, Loss: 10.33686, Surrogate test score: 0.42444
Attacking: Epoch 78, Loss: 10.31583, Surrogate test score: 0.42394
Attacking: Epoch 79, Loss: 10.25673, Surrogate test score: 0.42241
Attacking: Epoch 80, Loss: 10.21736, Surrogate test score: 0.42140
Attacking: Epoch 81, Loss: 10.17938, Surrogate test score: 0.42039
Attacking: Epoch 82, Loss: 10.14515, Surrogate test score: 0.41988
Attacking: Epoch 83, Loss: 10.10394, Surrogate test score: 0.41886
Attacking: Epoch 84, Loss: 10.08268, Surrogate test score: 0.41836
Attacking: Epoch 85, Loss: 10.06716, Surrogate test score: 0.41836
Attacking: Epoch 86, Loss: 10.04348, Surrogate test score: 0.41785
Attacking: Epoch 87, Loss: 10.03234, Surrogate test score: 0.41785
Attacking: Epoch 88, Loss: 10.00831, Surrogate test score: 0.41734
Attacking: Epoch 89, Loss: 9.99815, Surrogate test score: 0.41734
Attacking: Epoch 90, Loss: 9.98643, Surrogate test score: 0.41734
Attacking: Epoch 91, Loss: 9.97197, Surrogate test score: 0.41734
Attacking: Epoch 92, Loss: 9.90895, Surrogate test score: 0.41430
Attacking: Epoch 93, Loss: 9.86467, Surrogate test score: 0.41329
Attacking: Epoch 94, Loss: 9.85407, Surrogate test score: 0.41329
Attacking: Epoch 95, Loss: 9.83595, Surrogate test score: 0.41278
Attacking: Epoch 96, Loss: 9.81308, Surrogate test score: 0.41176
Attacking: Epoch 97, Loss: 9.78244, Surrogate test score: 0.41176
Attacking: Epoch 98, Loss: 9.75831, Surrogate test score: 0.41075
Attacking: Epoch 99, Loss: 9.71583, Surrogate test score: 0.40974
Attacking: Epoch 100, Loss: 9.70472, Surrogate test score: 0.40974
Attacking: Epoch 101, Loss: 9.68650, Surrogate test score: 0.40923
Attacking: Epoch 102, Loss: 9.65914, Surrogate test score: 0.40872
Attacking: Epoch 103, Loss: 9.62477, Surrogate test score: 0.40720
Attacking: Epoch 104, Loss: 9.59324, Surrogate test score: 0.40669
Attacking: Epoch 105, Loss: 9.58369, Surrogate test score: 0.40669
Attacking: Epoch 106, Loss: 9.57575, Surrogate test score: 0.40669
Attacking: Epoch 107, Loss: 9.56819, Surrogate test score: 0.40669
Attacking: Epoch 108, Loss: 9.55882, Surrogate test score: 0.40669
Attacking: Epoch 109, Loss: 9.54069, Surrogate test score: 0.40619
Attacking: Epoch 110, Loss: 9.52033, Surrogate test score: 0.40568
Attacking: Epoch 111, Loss: 9.51361, Surrogate test score: 0.40568
Attacking: Epoch 112, Loss: 9.50576, Surrogate test score: 0.40568
Attacking: Epoch 113, Loss: 9.48868, Surrogate test score: 0.40517
Attacking: Epoch 114, Loss: 9.47980, Surrogate test score: 0.40517
Attacking: Epoch 115, Loss: 9.47282, Surrogate test score: 0.40517
Attacking: Epoch 116, Loss: 9.46695, Surrogate test score: 0.40517
Attacking: Epoch 117, Loss: 9.46028, Surrogate test score: 0.40517
Attacking: Epoch 118, Loss: 9.45354, Surrogate test score: 0.40517
Attacking: Epoch 119, Loss: 9.44354, Surrogate test score: 0.40467
Attacking: Epoch 120, Loss: 9.42447, Surrogate test score: 0.40416
Attacking: Epoch 121, Loss: 9.40918, Surrogate test score: 0.40416
Attacking: Epoch 122, Loss: 9.40336, Surrogate test score: 0.40416
Attacking: Epoch 123, Loss: 9.39743, Surrogate test score: 0.40416
Attacking: Epoch 124, Loss: 9.39078, Surrogate test score: 0.40416
Attacking: Epoch 125, Loss: 9.37293, Surrogate test score: 0.40365
Attacking: Epoch 126, Loss: 9.36644, Surrogate test score: 0.40365
Attacking: Epoch 127, Loss: 9.32656, Surrogate test score: 0.40213
Attacking: Epoch 128, Loss: 9.31775, Surrogate test score: 0.40213
Attacking: Epoch 129, Loss: 9.31194, Surrogate test score: 0.40213
Attacking: Epoch 130, Loss: 9.29402, Surrogate test score: 0.40162
Attacking: Epoch 131, Loss: 9.28343, Surrogate test score: 0.40112
Attacking: Epoch 132, Loss: 9.27044, Surrogate test score: 0.40112
Attacking: Epoch 133, Loss: 9.25272, Surrogate test score: 0.40061
Attacking: Epoch 134, Loss: 9.24112, Surrogate test score: 0.40010
Attacking: Epoch 135, Loss: 9.22969, Surrogate test score: 0.40010
Attacking: Epoch 136, Loss: 9.22445, Surrogate test score: 0.40010
Attacking: Epoch 137, Loss: 9.20772, Surrogate test score: 0.39959
Attacking: Epoch 138, Loss: 9.20220, Surrogate test score: 0.39959
Attacking: Epoch 139, Loss: 9.18542, Surrogate test score: 0.39909
Attacking: Epoch 140, Loss: 9.17838, Surrogate test score: 0.39909
Attacking: Epoch 141, Loss: 9.16198, Surrogate test score: 0.39858
Attacking: Epoch 142, Loss: 9.15745, Surrogate test score: 0.39858
Attacking: Epoch 143, Loss: 9.15275, Surrogate test score: 0.39858
Attacking: Epoch 144, Loss: 9.13576, Surrogate test score: 0.39807
Attacking: Epoch 145, Loss: 9.13143, Surrogate test score: 0.39807
Attacking: Epoch 146, Loss: 9.12577, Surrogate test score: 0.39807
Attacking: Epoch 147, Loss: 9.10935, Surrogate test score: 0.39757
Attacking: Epoch 148, Loss: 9.10520, Surrogate test score: 0.39757
Attacking: Epoch 149, Loss: 9.10107, Surrogate test score: 0.39757
