nohup: ignoring input
Namespace(attack_method='TDGIA', cuda=True, dataset='Pubmed', debug=True, defense_mode='none', device_id=0, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=32, homo_boost_thrd=0.5, homo_loss_weight=200.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.15, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='GNNGuard', thrd=0.5, train_lr=0.01, trigger_prob=0.5, trigger_size=3, trojan_epochs=2000, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[19717, 500], edge_index=[2, 88648], y=[19717], train_mask=[19717], val_mask=[19717], test_mask=[19717])
Length of training set: 3943
Training benign model Finished!
Benign CA: 0.3810
./selected_nodes/Pubmed/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.0977574586868286
acc_val: 0.4079
Epoch 10, training loss: 0.9774625897407532
acc_val: 0.6585
Epoch 20, training loss: 0.8631055951118469
acc_val: 0.7174
Epoch 30, training loss: 0.7565116286277771
acc_val: 0.7900
Epoch 40, training loss: 0.6646937727928162
acc_val: 0.8209
Epoch 50, training loss: 0.6035282015800476
acc_val: 0.8321
Epoch 60, training loss: 0.5616564154624939
acc_val: 0.8437
Epoch 70, training loss: 0.5309169888496399
acc_val: 0.8498
Epoch 80, training loss: 0.5117023587226868
acc_val: 0.8493
Epoch 90, training loss: 0.49201080203056335
acc_val: 0.8554
Epoch 100, training loss: 0.47455206513404846
acc_val: 0.8579
Epoch 110, training loss: 0.4643174111843109
acc_val: 0.8559
Epoch 120, training loss: 0.45630916953086853
acc_val: 0.8610
Epoch 130, training loss: 0.4442738890647888
acc_val: 0.8605
Epoch 140, training loss: 0.4397967755794525
acc_val: 0.8635
Epoch 150, training loss: 0.4333151876926422
acc_val: 0.8630
Epoch 160, training loss: 0.42696988582611084
acc_val: 0.8625
Epoch 170, training loss: 0.4205875098705292
acc_val: 0.8635
Epoch 180, training loss: 0.4133424162864685
acc_val: 0.8661
Epoch 190, training loss: 0.4166029393672943
acc_val: 0.8635
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0385
target class rate on Vs: 0.0000
accuracy on clean test nodes: 0.8224
torch.Size([88648])
torch.Size([19717, 500])
Attacking: Sequential inject 1183/5916 nodes, target 1972/1972 nodes
Attacking: Epoch 0, Loss: 17.03003, Surrogate test score: 0.61410
Attacking: Epoch 1, Loss: 15.90261, Surrogate test score: 0.57708
Attacking: Epoch 2, Loss: 15.18832, Surrogate test score: 0.55781
Attacking: Epoch 3, Loss: 14.60678, Surrogate test score: 0.53499
Attacking: Epoch 4, Loss: 14.12632, Surrogate test score: 0.52434
Attacking: Epoch 5, Loss: 13.78897, Surrogate test score: 0.51369
Attacking: Epoch 6, Loss: 13.51761, Surrogate test score: 0.50862
Attacking: Epoch 7, Loss: 13.29852, Surrogate test score: 0.49797
Attacking: Epoch 8, Loss: 13.09301, Surrogate test score: 0.49189
Attacking: Epoch 9, Loss: 12.92771, Surrogate test score: 0.48732
Attacking: Epoch 10, Loss: 12.77263, Surrogate test score: 0.48022
Attacking: Epoch 11, Loss: 12.62683, Surrogate test score: 0.47566
Attacking: Epoch 12, Loss: 12.51597, Surrogate test score: 0.47262
Attacking: Epoch 13, Loss: 12.42764, Surrogate test score: 0.46856
Attacking: Epoch 14, Loss: 12.34951, Surrogate test score: 0.46755
Attacking: Epoch 15, Loss: 12.28394, Surrogate test score: 0.46704
Attacking: Epoch 16, Loss: 12.23583, Surrogate test score: 0.46653
Attacking: Epoch 17, Loss: 12.19567, Surrogate test score: 0.46602
Attacking: Epoch 18, Loss: 12.16085, Surrogate test score: 0.46602
Attacking: Epoch 19, Loss: 12.11072, Surrogate test score: 0.46400
Attacking: Epoch 20, Loss: 12.04094, Surrogate test score: 0.46146
Attacking: Epoch 21, Loss: 11.99776, Surrogate test score: 0.46095
Attacking: Epoch 22, Loss: 11.96895, Surrogate test score: 0.45994
Attacking: Epoch 23, Loss: 11.93892, Surrogate test score: 0.45994
Attacking: Epoch 24, Loss: 11.91423, Surrogate test score: 0.45842
Attacking: Epoch 25, Loss: 11.88385, Surrogate test score: 0.45690
Attacking: Epoch 26, Loss: 11.84217, Surrogate test score: 0.45639
Attacking: Epoch 27, Loss: 11.81146, Surrogate test score: 0.45639
Attacking: Epoch 28, Loss: 11.78809, Surrogate test score: 0.45639
Attacking: Epoch 29, Loss: 11.76751, Surrogate test score: 0.45588
Attacking: Epoch 30, Loss: 11.74811, Surrogate test score: 0.45538
Attacking: Epoch 31, Loss: 11.72157, Surrogate test score: 0.45538
Attacking: Epoch 32, Loss: 11.69873, Surrogate test score: 0.45487
Attacking: Epoch 33, Loss: 11.67432, Surrogate test score: 0.45436
Attacking: Epoch 34, Loss: 11.64925, Surrogate test score: 0.45436
Attacking: Epoch 35, Loss: 11.62339, Surrogate test score: 0.45335
Attacking: Epoch 36, Loss: 11.59196, Surrogate test score: 0.45284
Attacking: Epoch 37, Loss: 11.57070, Surrogate test score: 0.45284
Attacking: Epoch 38, Loss: 11.54829, Surrogate test score: 0.45233
Attacking: Epoch 39, Loss: 11.52856, Surrogate test score: 0.45233
Attacking: Epoch 40, Loss: 11.51205, Surrogate test score: 0.45233
Attacking: Epoch 41, Loss: 11.48959, Surrogate test score: 0.45183
Attacking: Epoch 42, Loss: 11.47202, Surrogate test score: 0.45132
Attacking: Epoch 43, Loss: 11.45752, Surrogate test score: 0.45081
Attacking: Epoch 44, Loss: 11.44225, Surrogate test score: 0.45081
Attacking: Epoch 45, Loss: 11.41645, Surrogate test score: 0.45030
Attacking: Epoch 46, Loss: 11.40052, Surrogate test score: 0.45030
Attacking: Epoch 47, Loss: 11.38576, Surrogate test score: 0.45030
Attacking: Epoch 48, Loss: 11.37102, Surrogate test score: 0.45030
Attacking: Epoch 49, Loss: 11.35524, Surrogate test score: 0.45030
Attacking: Epoch 50, Loss: 11.33916, Surrogate test score: 0.45030
Attacking: Epoch 51, Loss: 11.31424, Surrogate test score: 0.44929
Attacking: Epoch 52, Loss: 11.28340, Surrogate test score: 0.44878
Attacking: Epoch 53, Loss: 11.26355, Surrogate test score: 0.44828
Attacking: Epoch 54, Loss: 11.24030, Surrogate test score: 0.44828
Attacking: Epoch 55, Loss: 11.22593, Surrogate test score: 0.44828
Attacking: Epoch 56, Loss: 11.21104, Surrogate test score: 0.44828
Attacking: Epoch 57, Loss: 11.18334, Surrogate test score: 0.44777
Attacking: Epoch 58, Loss: 11.13586, Surrogate test score: 0.44625
Attacking: Epoch 59, Loss: 11.08850, Surrogate test score: 0.44523
Attacking: Epoch 60, Loss: 11.07033, Surrogate test score: 0.44523
Attacking: Epoch 61, Loss: 11.04387, Surrogate test score: 0.44473
Attacking: Epoch 62, Loss: 10.99946, Surrogate test score: 0.44320
Attacking: Epoch 63, Loss: 10.97164, Surrogate test score: 0.44270
Attacking: Epoch 64, Loss: 10.93944, Surrogate test score: 0.44168
Attacking: Epoch 65, Loss: 10.90027, Surrogate test score: 0.44067
Attacking: Epoch 66, Loss: 10.86606, Surrogate test score: 0.43915
Attacking: Epoch 67, Loss: 10.83306, Surrogate test score: 0.43915
Attacking: Epoch 68, Loss: 10.81467, Surrogate test score: 0.43915
Attacking: Epoch 69, Loss: 10.80056, Surrogate test score: 0.43915
Attacking: Epoch 70, Loss: 10.78709, Surrogate test score: 0.43915
Attacking: Epoch 71, Loss: 10.75687, Surrogate test score: 0.43813
Attacking: Epoch 72, Loss: 10.73173, Surrogate test score: 0.43813
Attacking: Epoch 73, Loss: 10.70465, Surrogate test score: 0.43763
Attacking: Epoch 74, Loss: 10.67579, Surrogate test score: 0.43712
Attacking: Epoch 75, Loss: 10.63557, Surrogate test score: 0.43560
Attacking: Epoch 76, Loss: 10.61238, Surrogate test score: 0.43560
Attacking: Epoch 77, Loss: 10.59926, Surrogate test score: 0.43560
Attacking: Epoch 78, Loss: 10.56157, Surrogate test score: 0.43458
Attacking: Epoch 79, Loss: 10.53159, Surrogate test score: 0.43357
Attacking: Epoch 80, Loss: 10.50896, Surrogate test score: 0.43357
Attacking: Epoch 81, Loss: 10.48420, Surrogate test score: 0.43306
Attacking: Epoch 82, Loss: 10.45193, Surrogate test score: 0.43205
Attacking: Epoch 83, Loss: 10.42101, Surrogate test score: 0.43154
Attacking: Epoch 84, Loss: 10.39096, Surrogate test score: 0.43053
Attacking: Epoch 85, Loss: 10.37166, Surrogate test score: 0.43053
Attacking: Epoch 86, Loss: 10.35599, Surrogate test score: 0.43002
Attacking: Epoch 87, Loss: 10.33130, Surrogate test score: 0.42951
Attacking: Epoch 88, Loss: 10.31255, Surrogate test score: 0.42951
Attacking: Epoch 89, Loss: 10.28074, Surrogate test score: 0.42850
Attacking: Epoch 90, Loss: 10.26605, Surrogate test score: 0.42850
Attacking: Epoch 91, Loss: 10.25580, Surrogate test score: 0.42850
Attacking: Epoch 92, Loss: 10.24654, Surrogate test score: 0.42850
Attacking: Epoch 93, Loss: 10.22630, Surrogate test score: 0.42799
Attacking: Epoch 94, Loss: 10.18633, Surrogate test score: 0.42698
Attacking: Epoch 95, Loss: 10.15059, Surrogate test score: 0.42596
Attacking: Epoch 96, Loss: 10.14045, Surrogate test score: 0.42596
Attacking: Epoch 97, Loss: 10.10413, Surrogate test score: 0.42444
Attacking: Epoch 98, Loss: 10.07105, Surrogate test score: 0.42394
Attacking: Epoch 99, Loss: 10.03793, Surrogate test score: 0.42241
Attacking: Epoch 100, Loss: 10.01007, Surrogate test score: 0.42191
Attacking: Epoch 101, Loss: 9.97913, Surrogate test score: 0.42140
Attacking: Epoch 102, Loss: 9.97062, Surrogate test score: 0.42140
Attacking: Epoch 103, Loss: 9.95812, Surrogate test score: 0.42089
Attacking: Epoch 104, Loss: 9.92756, Surrogate test score: 0.42039
Attacking: Epoch 105, Loss: 9.91961, Surrogate test score: 0.42039
Attacking: Epoch 106, Loss: 9.91136, Surrogate test score: 0.42039
Attacking: Epoch 107, Loss: 9.90304, Surrogate test score: 0.42039
Attacking: Epoch 108, Loss: 9.89472, Surrogate test score: 0.42039
Attacking: Epoch 109, Loss: 9.88670, Surrogate test score: 0.42039
Attacking: Epoch 110, Loss: 9.87861, Surrogate test score: 0.42039
Attacking: Epoch 111, Loss: 9.85877, Surrogate test score: 0.41988
Attacking: Epoch 112, Loss: 9.85023, Surrogate test score: 0.41937
Attacking: Epoch 113, Loss: 9.84273, Surrogate test score: 0.41937
Attacking: Epoch 114, Loss: 9.82439, Surrogate test score: 0.41886
Attacking: Epoch 115, Loss: 9.81448, Surrogate test score: 0.41886
Attacking: Epoch 116, Loss: 9.80709, Surrogate test score: 0.41886
Attacking: Epoch 117, Loss: 9.79302, Surrogate test score: 0.41836
Attacking: Epoch 118, Loss: 9.77689, Surrogate test score: 0.41836
Attacking: Epoch 119, Loss: 9.75897, Surrogate test score: 0.41734
Attacking: Epoch 120, Loss: 9.73936, Surrogate test score: 0.41684
Attacking: Epoch 121, Loss: 9.73215, Surrogate test score: 0.41684
Attacking: Epoch 122, Loss: 9.71957, Surrogate test score: 0.41633
Attacking: Epoch 123, Loss: 9.70053, Surrogate test score: 0.41582
Attacking: Epoch 124, Loss: 9.68624, Surrogate test score: 0.41582
Attacking: Epoch 125, Loss: 9.66416, Surrogate test score: 0.41531
Attacking: Epoch 126, Loss: 9.64660, Surrogate test score: 0.41481
Attacking: Epoch 127, Loss: 9.63966, Surrogate test score: 0.41481
Attacking: Epoch 128, Loss: 9.63330, Surrogate test score: 0.41481
Attacking: Epoch 129, Loss: 9.62655, Surrogate test score: 0.41481
Attacking: Epoch 130, Loss: 9.62003, Surrogate test score: 0.41481
Attacking: Epoch 131, Loss: 9.61376, Surrogate test score: 0.41481
Attacking: Epoch 132, Loss: 9.59557, Surrogate test score: 0.41430
Attacking: Epoch 133, Loss: 9.57677, Surrogate test score: 0.41379
Attacking: Epoch 134, Loss: 9.55619, Surrogate test score: 0.41329
Attacking: Epoch 135, Loss: 9.55023, Surrogate test score: 0.41329
Attacking: Epoch 136, Loss: 9.54282, Surrogate test score: 0.41329
Attacking: Epoch 137, Loss: 9.52362, Surrogate test score: 0.41278
Attacking: Epoch 138, Loss: 9.50680, Surrogate test score: 0.41227
Attacking: Epoch 139, Loss: 9.50094, Surrogate test score: 0.41227
Attacking: Epoch 140, Loss: 9.49536, Surrogate test score: 0.41227
Attacking: Epoch 141, Loss: 9.49012, Surrogate test score: 0.41227
Attacking: Epoch 142, Loss: 9.48496, Surrogate test score: 0.41227
Attacking: Epoch 143, Loss: 9.47931, Surrogate test score: 0.41227
Attacking: Epoch 144, Loss: 9.47464, Surrogate test score: 0.41227
Attacking: Epoch 145, Loss: 9.46901, Surrogate test score: 0.41227
Attacking: Epoch 146, Loss: 9.46387, Surrogate test score: 0.41227
Attacking: Epoch 147, Loss: 9.45931, Surrogate test score: 0.41227
Attacking: Epoch 148, Loss: 9.45401, Surrogate test score: 0.41227
Attacking: Epoch 149, Loss: 9.45007, Surrogate test score: 0.41227
